@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 


@DATA 
3 , 2 , 1.86000001 , 17716
2 , 2 , 1.86000001 , 17716
4 , 4 , 1.86000001 , 17716
2 , 1 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
4 , 2 , 1.86000001 , 17716
4 , 4 , 1.86000001 , 17716
4 , 3 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 3 , 1.86000001 , 17716
2 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
5 , 4 , 1.86000001 , 17716
2 , 1 , 1.86000001 , 17716
5 , 5 , 1.86000001 , 17716
4 , 5 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 3 , 1.86000001 , 17716
2 , 2 , 1.86000001 , 17716
4 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 3 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
2 , 1 , 1.86000001 , 17716
2 , 2 , 1.86000001 , 17716
5 , 5 , 1.86000001 , 17716
3 , 4 , 1.86000001 , 17716
2 , 2 , 1.86000001 , 17716
4 , 3 , 1.86000001 , 17716
3 , 2 , 1.86000001 , 17716
3 , 3 , 1.86000001 , 17716
1 , 1 , 1.86000001 , 17716
5 , 2 , 1.86000001 , 17716
1 , 1 , 3.50999999 , 29096
1 , 1 , 3.50999999 , 29096
2 , 2 , 3.50999999 , 29096
2 , 1 , 3.50999999 , 29096
2 , 2 , 3.50999999 , 29096
2 , 2 , 3.50999999 , 29096
2 , 1 , 3.50999999 , 29096
2 , 2 , 3.50999999 , 29096
2 , 1 , 3.50999999 , 29096
2 , 2 , 3.50999999 , 29096
2 , 1 , 3.50999999 , 29096
2 , 1 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 1 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 2 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
3 , 3 , 3.50999999 , 29096
