@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE population NUMERIC 


@DATA 
3 , 2 , 1456 , 17716
2 , 2 , 1519 , 17716
4 , 4 , 3254 , 17716
2 , 1 , 950 , 17716
3 , 2 , 1824 , 17716
3 , 2 , 1724 , 17716
4 , 2 , 2147 , 17716
4 , 4 , 5000 , 17716
4 , 3 , 2735 , 17716
3 , 2 , 1905 , 17716
3 , 3 , 2392 , 17716
2 , 2 , 1306 , 17716
3 , 2 , 1787 , 17716
3 , 2 , 1639 , 17716
3 , 2 , 2007 , 17716
5 , 4 , 3037 , 17716
2 , 1 , 988 , 17716
5 , 5 , 6015 , 17716
4 , 5 , 6166 , 17716
3 , 2 , 1626 , 17716
3 , 3 , 1642 , 17716
2 , 2 , 1041 , 17716
4 , 2 , 2286 , 17716
3 , 2 , 1152 , 17716
3 , 3 , 2470 , 17716
3 , 2 , 1128 , 17716
3 , 2 , 1320 , 17716
3 , 2 , 1075 , 17716
2 , 1 , 974 , 17716
2 , 2 , 968 , 17716
5 , 5 , 3360 , 17716
3 , 4 , 3298 , 17716
2 , 2 , 1565 , 17716
4 , 3 , 2130 , 17716
3 , 2 , 1951 , 17716
3 , 3 , 2175 , 17716
1 , 1 , 568 , 17716
5 , 2 , 1804 , 17716
1 , 1 , 712 , 29096
1 , 1 , 604 , 29096
2 , 2 , 1250 , 29096
2 , 1 , 800 , 29096
2 , 2 , 1140 , 29096
2 , 2 , 1300 , 29096
2 , 1 , 1000 , 29096
2 , 2 , 1041 , 29096
2 , 1 , 1020 , 29096
2 , 2 , 1200 , 29096
2 , 1 , 918 , 29096
2 , 1 , 756 , 29096
3 , 3 , 1832 , 29096
3 , 2 , 1706 , 29096
3 , 2 , 1388 , 29096
3 , 3 , 1801 , 29096
3 , 2 , 2136 , 29096
3 , 2 , 2016 , 29096
3 , 2 , 1341 , 29096
3 , 2 , 1500 , 29096
3 , 2 , 2382 , 29096
3 , 2 , 1220 , 29096
3 , 2 , 1151 , 29096
3 , 2 , 1575 , 29096
3 , 3 , 2020 , 29096
3 , 3 , 2086 , 29096
3 , 1 , 1153 , 29096
3 , 3 , 1387 , 29096
3 , 3 , 1575 , 29096
3 , 3 , 2500 , 29096
3 , 2 , 1530 , 29096
3 , 3 , 1414 , 29096
3 , 2 , 1124 , 29096
3 , 3 , 1260 , 29096
3 , 3 , 1998 , 29096
3 , 3 , 1863 , 29096
3 , 2 , 1100 , 29096
3 , 3 , 1920 , 29096
3 , 2 , 2050 , 29096
3 , 2 , 1580 , 29096
3 , 2 , 1325 , 29096
3 , 2 , 1751 , 29096
4 , 3 , 2628 , 29096
4 , 4 , 3600 , 29096
4 , 3 , 3800 , 29096
4 , 3 , 2757 , 29096
4 , 3 , 3838 , 29096
4 , 3 , 1941 , 29096
4 , 4 , 3600 , 29096
4 , 3 , 3518 , 29096
4 , 3 , 3900 , 29096
4 , 3 , 2259 , 29096
4 , 2 , 2025 , 29096
5 , 3 , 3281 , 29096
5 , 4 , 5200 , 29096
5 , 3 , 3025 , 29096
5 , 3 , 2583 , 29096
10 , 11 , 5000 , 29096
2 , 2 , 1300 , 46377
2 , 2 , 1300 , 46377
4 , 5 , 4119 , 46377
3 , 2 , 1236 , 363630
3 , 3 , 2006 , 93
4 , 4 , 3040 , 93
3 , 2 , 982 , 93
3 , 3 , 2194 , 93
2 , 2 , 963 , 4964
3 , 3 , 1440 , 4964
3 , 2 , 1682 , 4964
3 , 2 , 1310 , 4964
3 , 3 , 1300 , 4964
4 , 4 , 3120 , 4964
4 , 3 , 1650 , 4964
4 , 2 , 1780 , 4964
4 , 3 , 2000 , 4964
1 , 1 , 592 , 6032
2 , 2 , 1262 , 6032
2 , 2 , 1241 , 6032
2 , 2 , 1122 , 6032
2 , 2 , 1173 , 6032
2 , 2 , 1500 , 6032
2 , 3 , 1580 , 6032
2 , 3 , 2255 , 6032
3 , 2 , 1401 , 6032
3 , 2 , 1614 , 6032
3 , 2 , 1600 , 6032
3 , 3 , 1833 , 6032
3 , 3 , 1900 , 6032
3 , 3 , 2140 , 6032
3 , 3 , 2025 , 6032
3 , 3 , 2475 , 6032
4 , 3 , 3000 , 6032
4 , 3 , 1150 , 6032
4 , 4 , 3444 , 6032
5 , 3 , 2003 , 6032
5 , 4 , 3500 , 6032
3 , 3 , 1902 , 2592
2 , 2 , 1430 , 2592
3 , 3 , 3245 , 2592
2 , 1 , 888 , 16755
3 , 1 , 870 , 16755
3 , 2 , 1320 , 16755
3 , 2 , 1716 , 16755
4 , 3 , 1878 , 16755
4 , 3 , 2334 , 16755
5 , 2 , 1878 , 16755
4 , 2 , 2000 , 16869
1 , 1 , 600 , 13432
2 , 1 , 825 , 13432
2 , 2 , 1000 , 13432
2 , 2 , 1150 , 13432
2 , 2 , 1139 , 13432
3 , 1 , 1500 , 13432
3 , 2 , 1153 , 13432
3 , 2 , 1253 , 13432
3 , 2 , 1304 , 13432
3 , 2 , 1370 , 13432
3 , 2 , 1320 , 13432
3 , 2 , 1440 , 13432
3 , 2 , 1500 , 13432
3 , 2 , 1614 , 13432
3 , 2 , 1871 , 13432
3 , 2 , 1926 , 13432
3 , 2 , 2300 , 13432
3 , 3 , 2400 , 13432
3 , 3 , 3300 , 13432
4 , 2 , 1725 , 13432
4 , 3 , 2023 , 13432
2 , 1 , 1000 , 7225
3 , 1 , 1300 , 7225
3 , 2 , 1310 , 7225
3 , 3 , 1670 , 13248
4 , 2 , 2639 , 13248
3 , 1 , 1000 , 13248
3 , 2 , 1560 , 903
3 , 1 , 1040 , 43509
3 , 1 , 1080 , 43509
3 , 2 , 1056 , 43509
3 , 2 , 1244 , 43509
3 , 2 , 1247 , 43509
3 , 2 , 1263 , 43509
3 , 2 , 1261 , 43509
3 , 2 , 1256 , 43509
3 , 2 , 1390 , 43509
3 , 2 , 1573 , 43509
3 , 2 , 1603 , 43509
3 , 2 , 1662 , 43509
3 , 2 , 1658 , 43509
3 , 2 , 1770 , 43509
3 , 3 , 1448 , 43509
3 , 3 , 1740 , 43509
3 , 3 , 2386 , 43509
4 , 2 , 1237 , 43509
4 , 2 , 1220 , 43509
4 , 2 , 1237 , 43509
4 , 2 , 1400 , 43509
4 , 2 , 1410 , 43509
4 , 2 , 1688 , 43509
4 , 3 , 3150 , 43509
4 , 3 , 3200 , 43509
1 , 1 , 600 , 14276
2 , 1 , 780 , 14276
2 , 1 , 800 , 14276
2 , 2 , 952 , 14276
2 , 2 , 892 , 14276
2 , 2 , 1088 , 14276
2 , 2 , 1300 , 14276
2 , 2 , 1396 , 14276
3 , 2 , 980 , 14276
3 , 2 , 1171 , 14276
3 , 2 , 1159 , 14276
