@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 


@DATA 
3 , 2 , 1456
2 , 2 , 1519
4 , 4 , 3254
2 , 1 , 950
3 , 2 , 1824
3 , 2 , 1724
4 , 2 , 2147
4 , 4 , 5000
4 , 3 , 2735
3 , 2 , 1905
3 , 3 , 2392
2 , 2 , 1306
3 , 2 , 1787
3 , 2 , 1639
3 , 2 , 2007
5 , 4 , 3037
2 , 1 , 988
5 , 5 , 6015
4 , 5 , 6166
3 , 2 , 1626
3 , 3 , 1642
2 , 2 , 1041
4 , 2 , 2286
3 , 2 , 1152
3 , 3 , 2470
3 , 2 , 1128
3 , 2 , 1320
3 , 2 , 1075
2 , 1 , 974
2 , 2 , 968
5 , 5 , 3360
3 , 4 , 3298
2 , 2 , 1565
4 , 3 , 2130
3 , 2 , 1951
3 , 3 , 2175
1 , 1 , 568
5 , 2 , 1804
1 , 1 , 712
1 , 1 , 604
2 , 2 , 1250
2 , 1 , 800
2 , 2 , 1140
2 , 2 , 1300
2 , 1 , 1000
2 , 2 , 1041
2 , 1 , 1020
2 , 2 , 1200
2 , 1 , 918
2 , 1 , 756
3 , 3 , 1832
3 , 2 , 1706
3 , 2 , 1388
3 , 3 , 1801
3 , 2 , 2136
3 , 2 , 2016
3 , 2 , 1341
3 , 2 , 1500
3 , 2 , 2382
3 , 2 , 1220
3 , 2 , 1151
3 , 2 , 1575
3 , 3 , 2020
3 , 3 , 2086
3 , 1 , 1153
3 , 3 , 1387
3 , 3 , 1575
3 , 3 , 2500
3 , 2 , 1530
3 , 3 , 1414
3 , 2 , 1124
3 , 3 , 1260
3 , 3 , 1998
3 , 3 , 1863
3 , 2 , 1100
3 , 3 , 1920
3 , 2 , 2050
3 , 2 , 1580
3 , 2 , 1325
3 , 2 , 1751
4 , 3 , 2628
4 , 4 , 3600
4 , 3 , 3800
4 , 3 , 2757
4 , 3 , 3838
4 , 3 , 1941
4 , 4 , 3600
4 , 3 , 3518
4 , 3 , 3900
4 , 3 , 2259
4 , 2 , 2025
5 , 3 , 3281
5 , 4 , 5200
5 , 3 , 3025
5 , 3 , 2583
10 , 11 , 5000
2 , 2 , 1300
2 , 2 , 1300
4 , 5 , 4119
3 , 2 , 1236
3 , 3 , 2006
4 , 4 , 3040
3 , 2 , 982
3 , 3 , 2194
2 , 2 , 963
3 , 3 , 1440
3 , 2 , 1682
3 , 2 , 1310
3 , 3 , 1300
4 , 4 , 3120
4 , 3 , 1650
4 , 2 , 1780
4 , 3 , 2000
1 , 1 , 592
2 , 2 , 1262
2 , 2 , 1241
2 , 2 , 1122
2 , 2 , 1173
2 , 2 , 1500
2 , 3 , 1580
2 , 3 , 2255
3 , 2 , 1401
3 , 2 , 1614
3 , 2 , 1600
3 , 3 , 1833
3 , 3 , 1900
3 , 3 , 2140
3 , 3 , 2025
3 , 3 , 2475
4 , 3 , 3000
4 , 3 , 1150
4 , 4 , 3444
5 , 3 , 2003
5 , 4 , 3500
3 , 3 , 1902
2 , 2 , 1430
3 , 3 , 3245
2 , 1 , 888
3 , 1 , 870
3 , 2 , 1320
3 , 2 , 1716
4 , 3 , 1878
4 , 3 , 2334
5 , 2 , 1878
4 , 2 , 2000
1 , 1 , 600
2 , 1 , 825
2 , 2 , 1000
2 , 2 , 1150
2 , 2 , 1139
3 , 1 , 1500
3 , 2 , 1153
3 , 2 , 1253
3 , 2 , 1304
3 , 2 , 1370
3 , 2 , 1320
3 , 2 , 1440
3 , 2 , 1500
3 , 2 , 1614
3 , 2 , 1871
3 , 2 , 1926
3 , 2 , 2300
3 , 3 , 2400
3 , 3 , 3300
4 , 2 , 1725
4 , 3 , 2023
2 , 1 , 1000
3 , 1 , 1300
3 , 2 , 1310
3 , 3 , 1670
4 , 2 , 2639
3 , 1 , 1000
3 , 2 , 1560
3 , 1 , 1040
3 , 1 , 1080
3 , 2 , 1056
3 , 2 , 1244
3 , 2 , 1247
3 , 2 , 1263
3 , 2 , 1261
3 , 2 , 1256
3 , 2 , 1390
3 , 2 , 1573
3 , 2 , 1603
3 , 2 , 1662
3 , 2 , 1658
3 , 2 , 1770
3 , 3 , 1448
3 , 3 , 1740
3 , 3 , 2386
4 , 2 , 1237
4 , 2 , 1220
4 , 2 , 1237
4 , 2 , 1400
4 , 2 , 1410
4 , 2 , 1688
4 , 3 , 3150
4 , 3 , 3200
1 , 1 , 600
2 , 1 , 780
2 , 1 , 800
2 , 2 , 952
2 , 2 , 892
2 , 2 , 1088
2 , 2 , 1300
2 , 2 , 1396
3 , 2 , 980
3 , 2 , 1171
3 , 2 , 1159
3 , 2 , 1297
3 , 2 , 1492
3 , 2 , 1535
3 , 2 , 1800
3 , 2 , 1953
3 , 2 , 2144
3 , 3 , 1529
3 , 3 , 2100
3 , 3 , 2550
3 , 3 , 2840
3 , 3 , 3374
6 , 7 , 5126
2 , 2 , 1200
3 , 2 , 1177
3 , 3 , 1341
2 , 2 , 1408
3 , 3 , 1550
