@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
3 , 264.354401 , 1.86000001
2 , 242.922974 , 1.86000001
4 , 338.045471 , 1.86000001
2 , 394.736847 , 1.86000001
3 , 408.442993 , 1.86000001
3 , 420.53363 , 1.86000001
4 , 603.167236 , 1.86000001
4 , 399.200012 , 1.86000001
4 , 321.572205 , 1.86000001
3 , 524.356934 , 1.86000001
3 , 363.670563 , 1.86000001
2 , 287.136292 , 1.86000001
3 , 349.748169 , 1.86000001
3 , 253.203171 , 1.86000001
3 , 348.729462 , 1.86000001
5 , 279.552185 , 1.86000001
2 , 455.465576 , 1.86000001
5 , 249.210312 , 1.86000001
4 , 437.722992 , 1.86000001
3 , 322.263214 , 1.86000001
3 , 267.356873 , 1.86000001
2 , 326.51297 , 1.86000001
4 , 340.332458 , 1.86000001
3 , 477.430542 , 1.86000001
3 , 323.846161 , 1.86000001
3 , 646.276611 , 1.86000001
3 , 82.5757599 , 1.86000001
3 , 381.348846 , 1.86000001
2 , 667.351135 , 1.86000001
2 , 259.194214 , 1.86000001
5 , 344.791656 , 1.86000001
3 , 318.071564 , 1.86000001
2 , 334.498413 , 1.86000001
4 , 234.694839 , 1.86000001
3 , 363.915955 , 1.86000001
3 , 281.379303 , 1.86000001
1 , 316.725342 , 1.86000001
5 , 272.727264 , 1.86000001
1 , 295.505615 , 3.50999999
1 , 320.33609 , 3.50999999
2 , 348 , 3.50999999
2 , 874.875 , 3.50999999
2 , 434.210541 , 3.50999999
2 , 269.153839 , 3.50999999
2 , 319 , 3.50999999
2 , 206.532181 , 3.50999999
2 , 161.764709 , 3.50999999
2 , 325 , 3.50999999
2 , 391.067535 , 3.50999999
2 , 204.294968 , 3.50999999
3 , 210.152832 , 3.50999999
3 , 254.982422 , 3.50999999
3 , 266.498566 , 3.50999999
3 , 202.665192 , 3.50999999
3 , 293.539337 , 3.50999999
3 , 285.218262 , 3.50999999
3 , 290.082031 , 3.50999999
3 , 349.933319 , 3.50999999
3 , 217.46431 , 3.50999999
3 , 296.721313 , 3.50999999
3 , 364.031281 , 3.50999999
3 , 219.047623 , 3.50999999
3 , 267.326721 , 3.50999999
3 , 299.616486 , 3.50999999
3 , 260.189941 , 3.50999999
3 , 280.461426 , 3.50999999
3 , 209.523804 , 3.50999999
3 , 319.959991 , 3.50999999
3 , 287.581696 , 3.50999999
3 , 243.988678 , 3.50999999
3 , 306.939514 , 3.50999999
3 , 98.0158768 , 3.50999999
3 , 450.450439 , 3.50999999
3 , 214.170685 , 3.50999999
3 , 308.181824 , 3.50999999
3 , 239.0625 , 3.50999999
3 , 275.609741 , 3.50999999
3 , 338.607605 , 3.50999999
3 , 298.11322 , 3.50999999
3 , 356.938904 , 3.50999999
4 , 201.674271 , 3.50999999
4 , 210.833328 , 3.50999999
4 , 18.1315784 , 3.50999999
4 , 250.235764 , 3.50999999
4 , 273.579987 , 3.50999999
4 , 293.147858 , 3.50999999
4 , 194.166672 , 3.50999999
4 , 262.933472 , 3.50999999
4 , 256.384613 , 3.50999999
4 , 201.660034 , 3.50999999
4 , 269.135803 , 3.50999999
5 , 144.772934 , 3.50999999
5 , 249.038467 , 3.50999999
5 , 289.256195 , 3.50999999
5 , 228.029419 , 3.50999999
10 , 270 , 3.50999999
2 , 634.615356 , 3.95000005
2 , 658.461548 , 3.95000005
4 , 716.193237 , 3.95000005
3 , 161.812302 , 5.17000008
3 , 196.859421 , 5.36000013
4 , 246.546051 , 5.36000013
3 , 253.564148 , 5.36000013
3 , 364.175018 , 5.36000013
2 , 362.409149 , 5.36000013
3 , 277.777771 , 5.36000013
3 , 312.128418 , 5.36000013
3 , 553.43512 , 5.36000013
3 , 333.846161 , 5.36000013
4 , 318.910248 , 5.36000013
4 , 272.727264 , 5.36000013
4 , 229.775284 , 5.36000013
4 , 250.5 , 5.36000013
1 , 724.66217 , 2.16000009
2 , 423.930267 , 2.16000009
2 , 382.755829 , 2.16000009
2 , 460.784302 , 2.16000009
2 , 671.355469 , 2.16000009
2 , 266.333344 , 2.16000009
2 , 566.455688 , 2.16000009
2 , 357.427948 , 2.16000009
3 , 406.138458 , 2.16000009
3 , 418.215607 , 2.16000009
3 , 411.875 , 2.16000009
3 , 479.541748 , 2.16000009
3 , 367.894745 , 2.16000009
3 , 932.242981 , 2.16000009
3 , 295.80246 , 2.16000009
3 , 322.828278 , 2.16000009
4 , 433.333344 , 2.16000009
4 , 556.086975 , 2.16000009
4 , 405.052277 , 2.16000009
5 , 448.826752 , 2.16000009
5 , 414.285706 , 2.16000009
3 , 514.721375 , 0.670000017
2 , 524.475525 , 0.670000017
3 , 614.791992 , 0.670000017
2 , 95.7207184 , 0.670000017
3 , 126.436783 , 0.670000017
3 , 159.090912 , 0.670000017
3 , 106.060608 , 0.670000017
4 , 84.733757 , 0.670000017
4 , 102.827766 , 0.670000017
5 , 98.5090485 , 0.670000017
4 , 155 , 5.28000021
1 , 500 , 3.13000011
2 , 448.363647 , 3.13000011
2 , 290 , 3.13000011
2 , 260 , 3.13000011
2 , 429.323975 , 3.13000011
3 , 299.333344 , 3.13000011
3 , 446.660889 , 3.13000011
3 , 382.282532 , 3.13000011
3 , 520.705505 , 3.13000011
3 , 356.934296 , 3.13000011
3 , 210.984848 , 3.13000011
3 , 333.333344 , 3.13000011
3 , 333.333344 , 3.13000011
3 , 276.270142 , 3.13000011
3 , 266.702301 , 3.13000011
3 , 329.43924 , 3.13000011
3 , 323.913055 , 3.13000011
3 , 316.25 , 3.13000011
3 , 212.121216 , 3.13000011
4 , 376.811584 , 3.13000011
4 , 221.947601 , 3.13000011
2 , 178.339996 , 1.38999999
3 , 244.615387 , 1.38999999
3 , 184.847336 , 1.38999999
3 , 197.604797 , 5.13000011
4 , 236.794235 , 5.13000011
3 , 210 , 5.13000011
3 , 317.307678 , 1.75
3 , 191.615387 , 4.48000002
3 , 236.111115 , 4.48000002
3 , 47.253788 , 4.48000002
3 , 224.27652 , 4.48000002
3 , 184.442657 , 4.48000002
3 , 182.026917 , 4.48000002
3 , 198.255356 , 4.48000002
3 , 150.477707 , 4.48000002
3 , 158.273376 , 4.48000002
3 , 172.917984 , 4.48000002
3 , 208.296936 , 4.48000002
3 , 197.954269 , 4.48000002
3 , 207.110977 , 4.48000002
3 , 257.627106 , 4.48000002
3 , 127.762428 , 4.48000002
3 , 212.06897 , 4.48000002
3 , 169.279129 , 4.48000002
4 , 218.270004 , 4.48000002
4 , 233.606552 , 4.48000002
4 , 226.35408 , 4.48000002
4 , 225 , 4.48000002
4 , 213.829788 , 4.48000002
4 , 168.838867 , 4.48000002
4 , 180.317459 , 4.48000002
4 , 191.53125 , 4.48000002
1 , 181.666672 , 2.38000011
2 , 478.846161 , 2.38000011
