@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
384900 , 3 , 2 , 264.354401
369000 , 2 , 2 , 242.922974
1100000 , 4 , 4 , 338.045471
375000 , 2 , 1 , 394.736847
745000 , 3 , 2 , 408.442993
725000 , 3 , 2 , 420.53363
1295000 , 4 , 2 , 603.167236
1996000 , 4 , 4 , 399.200012
879500 , 4 , 3 , 321.572205
998900 , 3 , 2 , 524.356934
869900 , 3 , 3 , 363.670563
375000 , 2 , 2 , 287.136292
625000 , 3 , 2 , 349.748169
415000 , 3 , 2 , 253.203171
699900 , 3 , 2 , 348.729462
849000 , 5 , 4 , 279.552185
450000 , 2 , 1 , 455.465576
1499000 , 5 , 5 , 249.210312
2699000 , 4 , 5 , 437.722992
524000 , 3 , 2 , 322.263214
439000 , 3 , 3 , 267.356873
339900 , 2 , 2 , 326.51297
778000 , 4 , 2 , 340.332458
550000 , 3 , 2 , 477.430542
799900 , 3 , 3 , 323.846161
729000 , 3 , 2 , 646.276611
109000 , 3 , 2 , 82.5757599
409950 , 3 , 2 , 381.348846
650000 , 2 , 1 , 667.351135
250900 , 2 , 2 , 259.194214
1158500 , 5 , 5 , 344.791656
1049000 , 3 , 4 , 318.071564
523490 , 2 , 2 , 334.498413
499900 , 4 , 3 , 234.694839
710000 , 3 , 2 , 363.915955
612000 , 3 , 3 , 281.379303
179900 , 1 , 1 , 316.725342
492000 , 5 , 2 , 272.727264
210400 , 1 , 1 , 295.505615
193483 , 1 , 1 , 320.33609
435000 , 2 , 2 , 348
699900 , 2 , 1 , 874.875
495000 , 2 , 2 , 434.210541
349900 , 2 , 2 , 269.153839
319000 , 2 , 1 , 319
215000 , 2 , 2 , 206.532181
165000 , 2 , 1 , 161.764709
390000 , 2 , 2 , 325
359000 , 2 , 1 , 391.067535
154447 , 2 , 1 , 204.294968
385000 , 3 , 3 , 210.152832
435000 , 3 , 2 , 254.982422
369900 , 3 , 2 , 266.498566
365000 , 3 , 3 , 202.665192
627000 , 3 , 2 , 293.539337
575000 , 3 , 2 , 285.218262
389000 , 3 , 2 , 290.082031
524900 , 3 , 2 , 349.933319
518000 , 3 , 2 , 217.46431
362000 , 3 , 2 , 296.721313
419000 , 3 , 2 , 364.031281
345000 , 3 , 2 , 219.047623
540000 , 3 , 3 , 267.326721
625000 , 3 , 3 , 299.616486
299999 , 3 , 1 , 260.189941
389000 , 3 , 3 , 280.461426
330000 , 3 , 3 , 209.523804
799900 , 3 , 3 , 319.959991
440000 , 3 , 2 , 287.581696
345000 , 3 , 3 , 243.988678
345000 , 3 , 2 , 306.939514
123500 , 3 , 3 , 98.0158768
900000 , 3 , 3 , 450.450439
399000 , 3 , 3 , 214.170685
339000 , 3 , 2 , 308.181824
459000 , 3 , 3 , 239.0625
565000 , 3 , 2 , 275.609741
535000 , 3 , 2 , 338.607605
395000 , 3 , 2 , 298.11322
625000 , 3 , 2 , 356.938904
530000 , 4 , 3 , 201.674271
759000 , 4 , 4 , 210.833328
68900 , 4 , 3 , 18.1315784
689900 , 4 , 3 , 250.235764
1050000 , 4 , 3 , 273.579987
569000 , 4 , 3 , 293.147858
699000 , 4 , 4 , 194.166672
925000 , 4 , 3 , 262.933472
999900 , 4 , 3 , 256.384613
455550 , 4 , 3 , 201.660034
545000 , 4 , 2 , 269.135803
475000 , 5 , 3 , 144.772934
1295000 , 5 , 4 , 249.038467
875000 , 5 , 3 , 289.256195
589000 , 5 , 3 , 228.029419
1350000 , 10 , 11 , 270
825000 , 2 , 2 , 634.615356
856000 , 2 , 2 , 658.461548
2950000 , 4 , 5 , 716.193237
200000 , 3 , 2 , 161.812302
394900 , 3 , 3 , 196.859421
749500 , 4 , 4 , 246.546051
249000 , 3 , 2 , 253.564148
799000 , 3 , 3 , 364.175018
349000 , 2 , 2 , 362.409149
400000 , 3 , 3 , 277.777771
525000 , 3 , 2 , 312.128418
725000 , 3 , 2 , 553.43512
434000 , 3 , 3 , 333.846161
995000 , 4 , 4 , 318.910248
450000 , 4 , 3 , 272.727264
409000 , 4 , 2 , 229.775284
501000 , 4 , 3 , 250.5
429000 , 1 , 1 , 724.66217
535000 , 2 , 2 , 423.930267
475000 , 2 , 2 , 382.755829
517000 , 2 , 2 , 460.784302
787500 , 2 , 2 , 671.355469
399500 , 2 , 2 , 266.333344
895000 , 2 , 3 , 566.455688
806000 , 2 , 3 , 357.427948
569000 , 3 , 2 , 406.138458
675000 , 3 , 2 , 418.215607
659000 , 3 , 2 , 411.875
879000 , 3 , 3 , 479.541748
699000 , 3 , 3 , 367.894745
1995000 , 3 , 3 , 932.242981
599000 , 3 , 3 , 295.80246
799000 , 3 , 3 , 322.828278
1300000 , 4 , 3 , 433.333344
639500 , 4 , 3 , 556.086975
1395000 , 4 , 4 , 405.052277
899000 , 5 , 3 , 448.826752
1450000 , 5 , 4 , 414.285706
979000 , 3 , 3 , 514.721375
750000 , 2 , 2 , 524.475525
1995000 , 3 , 3 , 614.791992
85000 , 2 , 1 , 95.7207184
110000 , 3 , 1 , 126.436783
210000 , 3 , 2 , 159.090912
182000 , 3 , 2 , 106.060608
159130 , 4 , 3 , 84.733757
240000 , 4 , 3 , 102.827766
185000 , 5 , 2 , 98.5090485
310000 , 4 , 2 , 155
300000 , 1 , 1 , 500
369900 , 2 , 1 , 448.363647
290000 , 2 , 2 , 290
299000 , 2 , 2 , 260
489000 , 2 , 2 , 429.323975
449000 , 3 , 1 , 299.333344
515000 , 3 , 2 , 446.660889
479000 , 3 , 2 , 382.282532
679000 , 3 , 2 , 520.705505
489000 , 3 , 2 , 356.934296
278500 , 3 , 2 , 210.984848
480000 , 3 , 2 , 333.333344
500000 , 3 , 2 , 333.333344
445900 , 3 , 2 , 276.270142
499000 , 3 , 2 , 266.702301
634500 , 3 , 2 , 329.43924
745000 , 3 , 2 , 323.913055
759000 , 3 , 3 , 316.25
700000 , 3 , 3 , 212.121216
650000 , 4 , 2 , 376.811584
449000 , 4 , 3 , 221.947601
178340 , 2 , 1 , 178.339996
318000 , 3 , 1 , 244.615387
242150 , 3 , 2 , 184.847336
330000 , 3 , 3 , 197.604797
624900 , 4 , 2 , 236.794235
210000 , 3 , 1 , 210
495000 , 3 , 2 , 317.307678
199280 , 3 , 1 , 191.615387
255000 , 3 , 1 , 236.111115
49900 , 3 , 2 , 47.253788
279000 , 3 , 2 , 224.27652
230000 , 3 , 2 , 184.442657
229900 , 3 , 2 , 182.026917
250000 , 3 , 2 , 198.255356
189000 , 3 , 2 , 150.477707
220000 , 3 , 2 , 158.273376
272000 , 3 , 2 , 172.917984
333900 , 3 , 2 , 208.296936
329000 , 3 , 2 , 197.954269
343390 , 3 , 2 , 207.110977
456000 , 3 , 2 , 257.627106
185000 , 3 , 3 , 127.762428
369000 , 3 , 3 , 212.06897
403900 , 3 , 3 , 169.279129
270000 , 4 , 2 , 218.270004
285000 , 4 , 2 , 233.606552
280000 , 4 , 2 , 226.35408
315000 , 4 , 2 , 225
301500 , 4 , 2 , 213.829788
285000 , 4 , 2 , 168.838867
568000 , 4 , 3 , 180.317459
612900 , 4 , 3 , 191.53125
109000 , 1 , 1 , 181.666672
373500 , 2 , 1 , 478.846161
349000 , 2 , 1 , 436.25
415000 , 2 , 2 , 435.924377
437500 , 2 , 2 , 490.470856
489900 , 2 , 2 , 450.275726
437000 , 2 , 2 , 336.153839
499950 , 2 , 2 , 358.130371
479000 , 3 , 2 , 488.775513
429000 , 3 , 2 , 366.353546
423000 , 3 , 2 , 364.969788
435000 , 3 , 2 , 335.389374
