@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
384900 , 3 , 2 , 1456 , 1.86000001 , 17716 , 35.2400017
369000 , 2 , 2 , 1519 , 1.86000001 , 17716 , 35.2400017
1100000 , 4 , 4 , 3254 , 1.86000001 , 17716 , 35.2400017
375000 , 2 , 1 , 950 , 1.86000001 , 17716 , 35.2400017
745000 , 3 , 2 , 1824 , 1.86000001 , 17716 , 35.2400017
725000 , 3 , 2 , 1724 , 1.86000001 , 17716 , 35.2400017
1295000 , 4 , 2 , 2147 , 1.86000001 , 17716 , 35.2400017
1996000 , 4 , 4 , 5000 , 1.86000001 , 17716 , 35.2400017
879500 , 4 , 3 , 2735 , 1.86000001 , 17716 , 35.2400017
998900 , 3 , 2 , 1905 , 1.86000001 , 17716 , 35.2400017
869900 , 3 , 3 , 2392 , 1.86000001 , 17716 , 35.2400017
375000 , 2 , 2 , 1306 , 1.86000001 , 17716 , 35.2400017
625000 , 3 , 2 , 1787 , 1.86000001 , 17716 , 35.2400017
415000 , 3 , 2 , 1639 , 1.86000001 , 17716 , 35.2400017
699900 , 3 , 2 , 2007 , 1.86000001 , 17716 , 35.2400017
849000 , 5 , 4 , 3037 , 1.86000001 , 17716 , 35.2400017
450000 , 2 , 1 , 988 , 1.86000001 , 17716 , 35.2400017
1499000 , 5 , 5 , 6015 , 1.86000001 , 17716 , 35.2400017
2699000 , 4 , 5 , 6166 , 1.86000001 , 17716 , 35.2400017
524000 , 3 , 2 , 1626 , 1.86000001 , 17716 , 35.2400017
439000 , 3 , 3 , 1642 , 1.86000001 , 17716 , 35.2400017
339900 , 2 , 2 , 1041 , 1.86000001 , 17716 , 35.2400017
778000 , 4 , 2 , 2286 , 1.86000001 , 17716 , 35.2400017
550000 , 3 , 2 , 1152 , 1.86000001 , 17716 , 35.2400017
799900 , 3 , 3 , 2470 , 1.86000001 , 17716 , 35.2400017
729000 , 3 , 2 , 1128 , 1.86000001 , 17716 , 35.2400017
109000 , 3 , 2 , 1320 , 1.86000001 , 17716 , 35.2400017
409950 , 3 , 2 , 1075 , 1.86000001 , 17716 , 35.2400017
650000 , 2 , 1 , 974 , 1.86000001 , 17716 , 35.2400017
250900 , 2 , 2 , 968 , 1.86000001 , 17716 , 35.2400017
1158500 , 5 , 5 , 3360 , 1.86000001 , 17716 , 35.2400017
1049000 , 3 , 4 , 3298 , 1.86000001 , 17716 , 35.2400017
523490 , 2 , 2 , 1565 , 1.86000001 , 17716 , 35.2400017
499900 , 4 , 3 , 2130 , 1.86000001 , 17716 , 35.2400017
710000 , 3 , 2 , 1951 , 1.86000001 , 17716 , 35.2400017
612000 , 3 , 3 , 2175 , 1.86000001 , 17716 , 35.2400017
179900 , 1 , 1 , 568 , 1.86000001 , 17716 , 35.2400017
492000 , 5 , 2 , 1804 , 1.86000001 , 17716 , 35.2400017
210400 , 1 , 1 , 712 , 3.50999999 , 29096 , 28.2299995
193483 , 1 , 1 , 604 , 3.50999999 , 29096 , 28.2299995
435000 , 2 , 2 , 1250 , 3.50999999 , 29096 , 28.2299995
699900 , 2 , 1 , 800 , 3.50999999 , 29096 , 28.2299995
495000 , 2 , 2 , 1140 , 3.50999999 , 29096 , 28.2299995
349900 , 2 , 2 , 1300 , 3.50999999 , 29096 , 28.2299995
319000 , 2 , 1 , 1000 , 3.50999999 , 29096 , 28.2299995
215000 , 2 , 2 , 1041 , 3.50999999 , 29096 , 28.2299995
165000 , 2 , 1 , 1020 , 3.50999999 , 29096 , 28.2299995
390000 , 2 , 2 , 1200 , 3.50999999 , 29096 , 28.2299995
359000 , 2 , 1 , 918 , 3.50999999 , 29096 , 28.2299995
154447 , 2 , 1 , 756 , 3.50999999 , 29096 , 28.2299995
385000 , 3 , 3 , 1832 , 3.50999999 , 29096 , 28.2299995
435000 , 3 , 2 , 1706 , 3.50999999 , 29096 , 28.2299995
369900 , 3 , 2 , 1388 , 3.50999999 , 29096 , 28.2299995
365000 , 3 , 3 , 1801 , 3.50999999 , 29096 , 28.2299995
627000 , 3 , 2 , 2136 , 3.50999999 , 29096 , 28.2299995
575000 , 3 , 2 , 2016 , 3.50999999 , 29096 , 28.2299995
389000 , 3 , 2 , 1341 , 3.50999999 , 29096 , 28.2299995
524900 , 3 , 2 , 1500 , 3.50999999 , 29096 , 28.2299995
518000 , 3 , 2 , 2382 , 3.50999999 , 29096 , 28.2299995
362000 , 3 , 2 , 1220 , 3.50999999 , 29096 , 28.2299995
419000 , 3 , 2 , 1151 , 3.50999999 , 29096 , 28.2299995
345000 , 3 , 2 , 1575 , 3.50999999 , 29096 , 28.2299995
540000 , 3 , 3 , 2020 , 3.50999999 , 29096 , 28.2299995
625000 , 3 , 3 , 2086 , 3.50999999 , 29096 , 28.2299995
299999 , 3 , 1 , 1153 , 3.50999999 , 29096 , 28.2299995
389000 , 3 , 3 , 1387 , 3.50999999 , 29096 , 28.2299995
330000 , 3 , 3 , 1575 , 3.50999999 , 29096 , 28.2299995
