@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE income NUMERIC 


@DATA 
384900 , 3 , 2 , 1456 , 264.354401 , 1.86000001 , 17716 , 33347
369000 , 2 , 2 , 1519 , 242.922974 , 1.86000001 , 17716 , 33347
1100000 , 4 , 4 , 3254 , 338.045471 , 1.86000001 , 17716 , 33347
375000 , 2 , 1 , 950 , 394.736847 , 1.86000001 , 17716 , 33347
745000 , 3 , 2 , 1824 , 408.442993 , 1.86000001 , 17716 , 33347
725000 , 3 , 2 , 1724 , 420.53363 , 1.86000001 , 17716 , 33347
1295000 , 4 , 2 , 2147 , 603.167236 , 1.86000001 , 17716 , 33347
1996000 , 4 , 4 , 5000 , 399.200012 , 1.86000001 , 17716 , 33347
879500 , 4 , 3 , 2735 , 321.572205 , 1.86000001 , 17716 , 33347
998900 , 3 , 2 , 1905 , 524.356934 , 1.86000001 , 17716 , 33347
869900 , 3 , 3 , 2392 , 363.670563 , 1.86000001 , 17716 , 33347
375000 , 2 , 2 , 1306 , 287.136292 , 1.86000001 , 17716 , 33347
625000 , 3 , 2 , 1787 , 349.748169 , 1.86000001 , 17716 , 33347
415000 , 3 , 2 , 1639 , 253.203171 , 1.86000001 , 17716 , 33347
699900 , 3 , 2 , 2007 , 348.729462 , 1.86000001 , 17716 , 33347
849000 , 5 , 4 , 3037 , 279.552185 , 1.86000001 , 17716 , 33347
450000 , 2 , 1 , 988 , 455.465576 , 1.86000001 , 17716 , 33347
1499000 , 5 , 5 , 6015 , 249.210312 , 1.86000001 , 17716 , 33347
2699000 , 4 , 5 , 6166 , 437.722992 , 1.86000001 , 17716 , 33347
524000 , 3 , 2 , 1626 , 322.263214 , 1.86000001 , 17716 , 33347
439000 , 3 , 3 , 1642 , 267.356873 , 1.86000001 , 17716 , 33347
339900 , 2 , 2 , 1041 , 326.51297 , 1.86000001 , 17716 , 33347
778000 , 4 , 2 , 2286 , 340.332458 , 1.86000001 , 17716 , 33347
550000 , 3 , 2 , 1152 , 477.430542 , 1.86000001 , 17716 , 33347
799900 , 3 , 3 , 2470 , 323.846161 , 1.86000001 , 17716 , 33347
729000 , 3 , 2 , 1128 , 646.276611 , 1.86000001 , 17716 , 33347
109000 , 3 , 2 , 1320 , 82.5757599 , 1.86000001 , 17716 , 33347
409950 , 3 , 2 , 1075 , 381.348846 , 1.86000001 , 17716 , 33347
650000 , 2 , 1 , 974 , 667.351135 , 1.86000001 , 17716 , 33347
250900 , 2 , 2 , 968 , 259.194214 , 1.86000001 , 17716 , 33347
1158500 , 5 , 5 , 3360 , 344.791656 , 1.86000001 , 17716 , 33347
1049000 , 3 , 4 , 3298 , 318.071564 , 1.86000001 , 17716 , 33347
523490 , 2 , 2 , 1565 , 334.498413 , 1.86000001 , 17716 , 33347
499900 , 4 , 3 , 2130 , 234.694839 , 1.86000001 , 17716 , 33347
710000 , 3 , 2 , 1951 , 363.915955 , 1.86000001 , 17716 , 33347
612000 , 3 , 3 , 2175 , 281.379303 , 1.86000001 , 17716 , 33347
179900 , 1 , 1 , 568 , 316.725342 , 1.86000001 , 17716 , 33347
492000 , 5 , 2 , 1804 , 272.727264 , 1.86000001 , 17716 , 33347
210400 , 1 , 1 , 712 , 295.505615 , 3.50999999 , 29096 , 31434
193483 , 1 , 1 , 604 , 320.33609 , 3.50999999 , 29096 , 31434
435000 , 2 , 2 , 1250 , 348 , 3.50999999 , 29096 , 31434
699900 , 2 , 1 , 800 , 874.875 , 3.50999999 , 29096 , 31434
495000 , 2 , 2 , 1140 , 434.210541 , 3.50999999 , 29096 , 31434
349900 , 2 , 2 , 1300 , 269.153839 , 3.50999999 , 29096 , 31434
319000 , 2 , 1 , 1000 , 319 , 3.50999999 , 29096 , 31434
215000 , 2 , 2 , 1041 , 206.532181 , 3.50999999 , 29096 , 31434
165000 , 2 , 1 , 1020 , 161.764709 , 3.50999999 , 29096 , 31434
