@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
384900 , 3 , 2 , 1456 , 264.354401 , 35.2400017
369000 , 2 , 2 , 1519 , 242.922974 , 35.2400017
1100000 , 4 , 4 , 3254 , 338.045471 , 35.2400017
375000 , 2 , 1 , 950 , 394.736847 , 35.2400017
745000 , 3 , 2 , 1824 , 408.442993 , 35.2400017
725000 , 3 , 2 , 1724 , 420.53363 , 35.2400017
1295000 , 4 , 2 , 2147 , 603.167236 , 35.2400017
1996000 , 4 , 4 , 5000 , 399.200012 , 35.2400017
879500 , 4 , 3 , 2735 , 321.572205 , 35.2400017
998900 , 3 , 2 , 1905 , 524.356934 , 35.2400017
869900 , 3 , 3 , 2392 , 363.670563 , 35.2400017
375000 , 2 , 2 , 1306 , 287.136292 , 35.2400017
625000 , 3 , 2 , 1787 , 349.748169 , 35.2400017
415000 , 3 , 2 , 1639 , 253.203171 , 35.2400017
699900 , 3 , 2 , 2007 , 348.729462 , 35.2400017
849000 , 5 , 4 , 3037 , 279.552185 , 35.2400017
450000 , 2 , 1 , 988 , 455.465576 , 35.2400017
1499000 , 5 , 5 , 6015 , 249.210312 , 35.2400017
2699000 , 4 , 5 , 6166 , 437.722992 , 35.2400017
524000 , 3 , 2 , 1626 , 322.263214 , 35.2400017
439000 , 3 , 3 , 1642 , 267.356873 , 35.2400017
339900 , 2 , 2 , 1041 , 326.51297 , 35.2400017
778000 , 4 , 2 , 2286 , 340.332458 , 35.2400017
550000 , 3 , 2 , 1152 , 477.430542 , 35.2400017
799900 , 3 , 3 , 2470 , 323.846161 , 35.2400017
729000 , 3 , 2 , 1128 , 646.276611 , 35.2400017
109000 , 3 , 2 , 1320 , 82.5757599 , 35.2400017
409950 , 3 , 2 , 1075 , 381.348846 , 35.2400017
650000 , 2 , 1 , 974 , 667.351135 , 35.2400017
250900 , 2 , 2 , 968 , 259.194214 , 35.2400017
1158500 , 5 , 5 , 3360 , 344.791656 , 35.2400017
1049000 , 3 , 4 , 3298 , 318.071564 , 35.2400017
523490 , 2 , 2 , 1565 , 334.498413 , 35.2400017
499900 , 4 , 3 , 2130 , 234.694839 , 35.2400017
710000 , 3 , 2 , 1951 , 363.915955 , 35.2400017
612000 , 3 , 3 , 2175 , 281.379303 , 35.2400017
179900 , 1 , 1 , 568 , 316.725342 , 35.2400017
492000 , 5 , 2 , 1804 , 272.727264 , 35.2400017
210400 , 1 , 1 , 712 , 295.505615 , 28.2299995
193483 , 1 , 1 , 604 , 320.33609 , 28.2299995
435000 , 2 , 2 , 1250 , 348 , 28.2299995
699900 , 2 , 1 , 800 , 874.875 , 28.2299995
495000 , 2 , 2 , 1140 , 434.210541 , 28.2299995
349900 , 2 , 2 , 1300 , 269.153839 , 28.2299995
319000 , 2 , 1 , 1000 , 319 , 28.2299995
215000 , 2 , 2 , 1041 , 206.532181 , 28.2299995
165000 , 2 , 1 , 1020 , 161.764709 , 28.2299995
390000 , 2 , 2 , 1200 , 325 , 28.2299995
359000 , 2 , 1 , 918 , 391.067535 , 28.2299995
154447 , 2 , 1 , 756 , 204.294968 , 28.2299995
385000 , 3 , 3 , 1832 , 210.152832 , 28.2299995
435000 , 3 , 2 , 1706 , 254.982422 , 28.2299995
