@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
384900 , 3 , 2 , 1456 , 264.354401
369000 , 2 , 2 , 1519 , 242.922974
1100000 , 4 , 4 , 3254 , 338.045471
375000 , 2 , 1 , 950 , 394.736847
745000 , 3 , 2 , 1824 , 408.442993
725000 , 3 , 2 , 1724 , 420.53363
1295000 , 4 , 2 , 2147 , 603.167236
1996000 , 4 , 4 , 5000 , 399.200012
879500 , 4 , 3 , 2735 , 321.572205
998900 , 3 , 2 , 1905 , 524.356934
869900 , 3 , 3 , 2392 , 363.670563
375000 , 2 , 2 , 1306 , 287.136292
625000 , 3 , 2 , 1787 , 349.748169
415000 , 3 , 2 , 1639 , 253.203171
699900 , 3 , 2 , 2007 , 348.729462
849000 , 5 , 4 , 3037 , 279.552185
450000 , 2 , 1 , 988 , 455.465576
1499000 , 5 , 5 , 6015 , 249.210312
2699000 , 4 , 5 , 6166 , 437.722992
524000 , 3 , 2 , 1626 , 322.263214
439000 , 3 , 3 , 1642 , 267.356873
339900 , 2 , 2 , 1041 , 326.51297
778000 , 4 , 2 , 2286 , 340.332458
550000 , 3 , 2 , 1152 , 477.430542
799900 , 3 , 3 , 2470 , 323.846161
729000 , 3 , 2 , 1128 , 646.276611
109000 , 3 , 2 , 1320 , 82.5757599
409950 , 3 , 2 , 1075 , 381.348846
650000 , 2 , 1 , 974 , 667.351135
250900 , 2 , 2 , 968 , 259.194214
1158500 , 5 , 5 , 3360 , 344.791656
1049000 , 3 , 4 , 3298 , 318.071564
523490 , 2 , 2 , 1565 , 334.498413
499900 , 4 , 3 , 2130 , 234.694839
710000 , 3 , 2 , 1951 , 363.915955
612000 , 3 , 3 , 2175 , 281.379303
179900 , 1 , 1 , 568 , 316.725342
492000 , 5 , 2 , 1804 , 272.727264
210400 , 1 , 1 , 712 , 295.505615
193483 , 1 , 1 , 604 , 320.33609
435000 , 2 , 2 , 1250 , 348
699900 , 2 , 1 , 800 , 874.875
495000 , 2 , 2 , 1140 , 434.210541
349900 , 2 , 2 , 1300 , 269.153839
319000 , 2 , 1 , 1000 , 319
215000 , 2 , 2 , 1041 , 206.532181
165000 , 2 , 1 , 1020 , 161.764709
390000 , 2 , 2 , 1200 , 325
359000 , 2 , 1 , 918 , 391.067535
154447 , 2 , 1 , 756 , 204.294968
385000 , 3 , 3 , 1832 , 210.152832
435000 , 3 , 2 , 1706 , 254.982422
369900 , 3 , 2 , 1388 , 266.498566
365000 , 3 , 3 , 1801 , 202.665192
627000 , 3 , 2 , 2136 , 293.539337
575000 , 3 , 2 , 2016 , 285.218262
389000 , 3 , 2 , 1341 , 290.082031
524900 , 3 , 2 , 1500 , 349.933319
518000 , 3 , 2 , 2382 , 217.46431
362000 , 3 , 2 , 1220 , 296.721313
419000 , 3 , 2 , 1151 , 364.031281
345000 , 3 , 2 , 1575 , 219.047623
540000 , 3 , 3 , 2020 , 267.326721
625000 , 3 , 3 , 2086 , 299.616486
299999 , 3 , 1 , 1153 , 260.189941
389000 , 3 , 3 , 1387 , 280.461426
330000 , 3 , 3 , 1575 , 209.523804
799900 , 3 , 3 , 2500 , 319.959991
440000 , 3 , 2 , 1530 , 287.581696
345000 , 3 , 3 , 1414 , 243.988678
345000 , 3 , 2 , 1124 , 306.939514
123500 , 3 , 3 , 1260 , 98.0158768
900000 , 3 , 3 , 1998 , 450.450439
399000 , 3 , 3 , 1863 , 214.170685
339000 , 3 , 2 , 1100 , 308.181824
459000 , 3 , 3 , 1920 , 239.0625
565000 , 3 , 2 , 2050 , 275.609741
535000 , 3 , 2 , 1580 , 338.607605
395000 , 3 , 2 , 1325 , 298.11322
625000 , 3 , 2 , 1751 , 356.938904
530000 , 4 , 3 , 2628 , 201.674271
759000 , 4 , 4 , 3600 , 210.833328
68900 , 4 , 3 , 3800 , 18.1315784
689900 , 4 , 3 , 2757 , 250.235764
1050000 , 4 , 3 , 3838 , 273.579987
569000 , 4 , 3 , 1941 , 293.147858
699000 , 4 , 4 , 3600 , 194.166672
925000 , 4 , 3 , 3518 , 262.933472
999900 , 4 , 3 , 3900 , 256.384613
455550 , 4 , 3 , 2259 , 201.660034
545000 , 4 , 2 , 2025 , 269.135803
475000 , 5 , 3 , 3281 , 144.772934
1295000 , 5 , 4 , 5200 , 249.038467
875000 , 5 , 3 , 3025 , 289.256195
589000 , 5 , 3 , 2583 , 228.029419
1350000 , 10 , 11 , 5000 , 270
825000 , 2 , 2 , 1300 , 634.615356
856000 , 2 , 2 , 1300 , 658.461548
2950000 , 4 , 5 , 4119 , 716.193237
200000 , 3 , 2 , 1236 , 161.812302
394900 , 3 , 3 , 2006 , 196.859421
749500 , 4 , 4 , 3040 , 246.546051
249000 , 3 , 2 , 982 , 253.564148
799000 , 3 , 3 , 2194 , 364.175018
349000 , 2 , 2 , 963 , 362.409149
400000 , 3 , 3 , 1440 , 277.777771
525000 , 3 , 2 , 1682 , 312.128418
725000 , 3 , 2 , 1310 , 553.43512
434000 , 3 , 3 , 1300 , 333.846161
995000 , 4 , 4 , 3120 , 318.910248
450000 , 4 , 3 , 1650 , 272.727264
409000 , 4 , 2 , 1780 , 229.775284
501000 , 4 , 3 , 2000 , 250.5
429000 , 1 , 1 , 592 , 724.66217
535000 , 2 , 2 , 1262 , 423.930267
475000 , 2 , 2 , 1241 , 382.755829
517000 , 2 , 2 , 1122 , 460.784302
787500 , 2 , 2 , 1173 , 671.355469
399500 , 2 , 2 , 1500 , 266.333344
895000 , 2 , 3 , 1580 , 566.455688
806000 , 2 , 3 , 2255 , 357.427948
569000 , 3 , 2 , 1401 , 406.138458
675000 , 3 , 2 , 1614 , 418.215607
659000 , 3 , 2 , 1600 , 411.875
879000 , 3 , 3 , 1833 , 479.541748
699000 , 3 , 3 , 1900 , 367.894745
1995000 , 3 , 3 , 2140 , 932.242981
599000 , 3 , 3 , 2025 , 295.80246
799000 , 3 , 3 , 2475 , 322.828278
1300000 , 4 , 3 , 3000 , 433.333344
639500 , 4 , 3 , 1150 , 556.086975
1395000 , 4 , 4 , 3444 , 405.052277
899000 , 5 , 3 , 2003 , 448.826752
1450000 , 5 , 4 , 3500 , 414.285706
979000 , 3 , 3 , 1902 , 514.721375
750000 , 2 , 2 , 1430 , 524.475525
1995000 , 3 , 3 , 3245 , 614.791992
85000 , 2 , 1 , 888 , 95.7207184
110000 , 3 , 1 , 870 , 126.436783
210000 , 3 , 2 , 1320 , 159.090912
182000 , 3 , 2 , 1716 , 106.060608
159130 , 4 , 3 , 1878 , 84.733757
240000 , 4 , 3 , 2334 , 102.827766
185000 , 5 , 2 , 1878 , 98.5090485
310000 , 4 , 2 , 2000 , 155
300000 , 1 , 1 , 600 , 500
369900 , 2 , 1 , 825 , 448.363647
290000 , 2 , 2 , 1000 , 290
299000 , 2 , 2 , 1150 , 260
489000 , 2 , 2 , 1139 , 429.323975
449000 , 3 , 1 , 1500 , 299.333344
515000 , 3 , 2 , 1153 , 446.660889
479000 , 3 , 2 , 1253 , 382.282532
679000 , 3 , 2 , 1304 , 520.705505
489000 , 3 , 2 , 1370 , 356.934296
278500 , 3 , 2 , 1320 , 210.984848
480000 , 3 , 2 , 1440 , 333.333344
500000 , 3 , 2 , 1500 , 333.333344
445900 , 3 , 2 , 1614 , 276.270142
499000 , 3 , 2 , 1871 , 266.702301
634500 , 3 , 2 , 1926 , 329.43924
745000 , 3 , 2 , 2300 , 323.913055
759000 , 3 , 3 , 2400 , 316.25
700000 , 3 , 3 , 3300 , 212.121216
650000 , 4 , 2 , 1725 , 376.811584
449000 , 4 , 3 , 2023 , 221.947601
178340 , 2 , 1 , 1000 , 178.339996
318000 , 3 , 1 , 1300 , 244.615387
242150 , 3 , 2 , 1310 , 184.847336
330000 , 3 , 3 , 1670 , 197.604797
624900 , 4 , 2 , 2639 , 236.794235
210000 , 3 , 1 , 1000 , 210
495000 , 3 , 2 , 1560 , 317.307678
199280 , 3 , 1 , 1040 , 191.615387
255000 , 3 , 1 , 1080 , 236.111115
49900 , 3 , 2 , 1056 , 47.253788
279000 , 3 , 2 , 1244 , 224.27652
230000 , 3 , 2 , 1247 , 184.442657
229900 , 3 , 2 , 1263 , 182.026917
250000 , 3 , 2 , 1261 , 198.255356
189000 , 3 , 2 , 1256 , 150.477707
220000 , 3 , 2 , 1390 , 158.273376
272000 , 3 , 2 , 1573 , 172.917984
333900 , 3 , 2 , 1603 , 208.296936
329000 , 3 , 2 , 1662 , 197.954269
343390 , 3 , 2 , 1658 , 207.110977
456000 , 3 , 2 , 1770 , 257.627106
