@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 


@DATA 
384900 , 3 , 2 , 1456
369000 , 2 , 2 , 1519
1100000 , 4 , 4 , 3254
375000 , 2 , 1 , 950
745000 , 3 , 2 , 1824
725000 , 3 , 2 , 1724
1295000 , 4 , 2 , 2147
1996000 , 4 , 4 , 5000
879500 , 4 , 3 , 2735
998900 , 3 , 2 , 1905
869900 , 3 , 3 , 2392
375000 , 2 , 2 , 1306
625000 , 3 , 2 , 1787
415000 , 3 , 2 , 1639
699900 , 3 , 2 , 2007
849000 , 5 , 4 , 3037
450000 , 2 , 1 , 988
1499000 , 5 , 5 , 6015
2699000 , 4 , 5 , 6166
524000 , 3 , 2 , 1626
439000 , 3 , 3 , 1642
339900 , 2 , 2 , 1041
778000 , 4 , 2 , 2286
550000 , 3 , 2 , 1152
799900 , 3 , 3 , 2470
729000 , 3 , 2 , 1128
109000 , 3 , 2 , 1320
409950 , 3 , 2 , 1075
650000 , 2 , 1 , 974
250900 , 2 , 2 , 968
1158500 , 5 , 5 , 3360
1049000 , 3 , 4 , 3298
523490 , 2 , 2 , 1565
499900 , 4 , 3 , 2130
710000 , 3 , 2 , 1951
612000 , 3 , 3 , 2175
179900 , 1 , 1 , 568
492000 , 5 , 2 , 1804
210400 , 1 , 1 , 712
193483 , 1 , 1 , 604
435000 , 2 , 2 , 1250
699900 , 2 , 1 , 800
495000 , 2 , 2 , 1140
349900 , 2 , 2 , 1300
319000 , 2 , 1 , 1000
215000 , 2 , 2 , 1041
165000 , 2 , 1 , 1020
390000 , 2 , 2 , 1200
359000 , 2 , 1 , 918
154447 , 2 , 1 , 756
385000 , 3 , 3 , 1832
435000 , 3 , 2 , 1706
369900 , 3 , 2 , 1388
365000 , 3 , 3 , 1801
627000 , 3 , 2 , 2136
575000 , 3 , 2 , 2016
389000 , 3 , 2 , 1341
524900 , 3 , 2 , 1500
518000 , 3 , 2 , 2382
362000 , 3 , 2 , 1220
419000 , 3 , 2 , 1151
345000 , 3 , 2 , 1575
540000 , 3 , 3 , 2020
625000 , 3 , 3 , 2086
299999 , 3 , 1 , 1153
389000 , 3 , 3 , 1387
330000 , 3 , 3 , 1575
799900 , 3 , 3 , 2500
440000 , 3 , 2 , 1530
345000 , 3 , 3 , 1414
345000 , 3 , 2 , 1124
123500 , 3 , 3 , 1260
900000 , 3 , 3 , 1998
399000 , 3 , 3 , 1863
339000 , 3 , 2 , 1100
459000 , 3 , 3 , 1920
565000 , 3 , 2 , 2050
535000 , 3 , 2 , 1580
395000 , 3 , 2 , 1325
625000 , 3 , 2 , 1751
530000 , 4 , 3 , 2628
