@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 


@DATA 
384900 , 3 , 2
369000 , 2 , 2
1100000 , 4 , 4
375000 , 2 , 1
745000 , 3 , 2
725000 , 3 , 2
1295000 , 4 , 2
1996000 , 4 , 4
879500 , 4 , 3
998900 , 3 , 2
869900 , 3 , 3
375000 , 2 , 2
625000 , 3 , 2
415000 , 3 , 2
699900 , 3 , 2
849000 , 5 , 4
450000 , 2 , 1
1499000 , 5 , 5
2699000 , 4 , 5
524000 , 3 , 2
439000 , 3 , 3
339900 , 2 , 2
778000 , 4 , 2
550000 , 3 , 2
799900 , 3 , 3
729000 , 3 , 2
109000 , 3 , 2
409950 , 3 , 2
650000 , 2 , 1
250900 , 2 , 2
1158500 , 5 , 5
1049000 , 3 , 4
523490 , 2 , 2
499900 , 4 , 3
710000 , 3 , 2
612000 , 3 , 3
179900 , 1 , 1
492000 , 5 , 2
210400 , 1 , 1
193483 , 1 , 1
435000 , 2 , 2
699900 , 2 , 1
495000 , 2 , 2
349900 , 2 , 2
319000 , 2 , 1
215000 , 2 , 2
165000 , 2 , 1
390000 , 2 , 2
359000 , 2 , 1
154447 , 2 , 1
385000 , 3 , 3
435000 , 3 , 2
369900 , 3 , 2
365000 , 3 , 3
627000 , 3 , 2
575000 , 3 , 2
389000 , 3 , 2
524900 , 3 , 2
518000 , 3 , 2
362000 , 3 , 2
419000 , 3 , 2
345000 , 3 , 2
540000 , 3 , 3
625000 , 3 , 3
299999 , 3 , 1
389000 , 3 , 3
330000 , 3 , 3
799900 , 3 , 3
440000 , 3 , 2
345000 , 3 , 3
345000 , 3 , 2
123500 , 3 , 3
900000 , 3 , 3
399000 , 3 , 3
339000 , 3 , 2
459000 , 3 , 3
565000 , 3 , 2
535000 , 3 , 2
395000 , 3 , 2
625000 , 3 , 2
530000 , 4 , 3
759000 , 4 , 4
68900 , 4 , 3
689900 , 4 , 3
1050000 , 4 , 3
569000 , 4 , 3
699000 , 4 , 4
925000 , 4 , 3
999900 , 4 , 3
455550 , 4 , 3
545000 , 4 , 2
475000 , 5 , 3
1295000 , 5 , 4
875000 , 5 , 3
589000 , 5 , 3
1350000 , 10 , 11
825000 , 2 , 2
856000 , 2 , 2
2950000 , 4 , 5
200000 , 3 , 2
394900 , 3 , 3
749500 , 4 , 4
249000 , 3 , 2
799000 , 3 , 3
349000 , 2 , 2
400000 , 3 , 3
525000 , 3 , 2
725000 , 3 , 2
434000 , 3 , 3
995000 , 4 , 4
450000 , 4 , 3
409000 , 4 , 2
501000 , 4 , 3
429000 , 1 , 1
535000 , 2 , 2
475000 , 2 , 2
517000 , 2 , 2
787500 , 2 , 2
399500 , 2 , 2
895000 , 2 , 3
806000 , 2 , 3
569000 , 3 , 2
675000 , 3 , 2
659000 , 3 , 2
879000 , 3 , 3
699000 , 3 , 3
1995000 , 3 , 3
599000 , 3 , 3
799000 , 3 , 3
1300000 , 4 , 3
639500 , 4 , 3
1395000 , 4 , 4
899000 , 5 , 3
1450000 , 5 , 4
979000 , 3 , 3
750000 , 2 , 2
1995000 , 3 , 3
85000 , 2 , 1
110000 , 3 , 1
210000 , 3 , 2
182000 , 3 , 2
159130 , 4 , 3
240000 , 4 , 3
185000 , 5 , 2
310000 , 4 , 2
300000 , 1 , 1
369900 , 2 , 1
290000 , 2 , 2
299000 , 2 , 2
489000 , 2 , 2
449000 , 3 , 1
515000 , 3 , 2
479000 , 3 , 2
679000 , 3 , 2
489000 , 3 , 2
278500 , 3 , 2
480000 , 3 , 2
500000 , 3 , 2
445900 , 3 , 2
499000 , 3 , 2
634500 , 3 , 2
745000 , 3 , 2
759000 , 3 , 3
700000 , 3 , 3
650000 , 4 , 2
449000 , 4 , 3
178340 , 2 , 1
318000 , 3 , 1
242150 , 3 , 2
330000 , 3 , 3
624900 , 4 , 2
210000 , 3 , 1
495000 , 3 , 2
199280 , 3 , 1
255000 , 3 , 1
49900 , 3 , 2
279000 , 3 , 2
230000 , 3 , 2
229900 , 3 , 2
250000 , 3 , 2
189000 , 3 , 2
220000 , 3 , 2
272000 , 3 , 2
333900 , 3 , 2
329000 , 3 , 2
343390 , 3 , 2
456000 , 3 , 2
185000 , 3 , 3
369000 , 3 , 3
403900 , 3 , 3
270000 , 4 , 2
285000 , 4 , 2
280000 , 4 , 2
315000 , 4 , 2
301500 , 4 , 2
285000 , 4 , 2
568000 , 4 , 3
612900 , 4 , 3
109000 , 1 , 1
373500 , 2 , 1
349000 , 2 , 1
415000 , 2 , 2
437500 , 2 , 2
489900 , 2 , 2
437000 , 2 , 2
499950 , 2 , 2
479000 , 3 , 2
429000 , 3 , 2
423000 , 3 , 2
435000 , 3 , 2
450000 , 3 , 2
459000 , 3 , 2
679000 , 3 , 2
549000 , 3 , 2
639000 , 3 , 2
522000 , 3 , 3
598500 , 3 , 3
845000 , 3 , 3
974000 , 3 , 3
971840 , 3 , 3
2499000 , 6 , 7
395000 , 2 , 2
549000 , 3 , 2
590000 , 3 , 3
700000 , 2 , 2
895000 , 3 , 3
785000 , 2 , 2
495000 , 4 , 2
694000 , 4 , 2
735000 , 3 , 3
694000 , 3 , 3
750000 , 3 , 2
849500 , 3 , 3
1340000 , 4 , 3
1550000 , 4 , 4
5500000 , 4 , 3
89100 , 3 , 1
225000 , 2 , 2
159000 , 3 , 1
359000 , 2 , 2
379000 , 3 , 2
350000 , 3 , 2
374900 , 3 , 1
380000 , 3 , 2
680000 , 2 , 2
425000 , 4 , 2
345000 , 4 , 2
550000 , 3 , 2
449000 , 3 , 3
474900 , 4 , 2
499000 , 3 , 2
419900 , 4 , 2
499000 , 3 , 2
499000 , 4 , 2
595000 , 3 , 3
569000 , 4 , 2
599900 , 4 , 2
775000 , 2 , 2
469000 , 4 , 2
399000 , 4 , 2
800000 , 4 , 2
1100000 , 3 , 3
799000 , 4 , 3
699000 , 7 , 5
924900 , 3 , 3
929000 , 5 , 3
699000 , 4 , 4
1199000 , 3 , 3
1188000 , 3 , 5
1479000 , 4 , 4
495000 , 2 , 1
235000 , 2 , 2
350000 , 2 , 1
269900 , 2 , 2
152000 , 3 , 2
350000 , 3 , 3
289900 , 2 , 1
450000 , 3 , 2
519900 , 3 , 3
979000 , 3 , 3
1500000 , 3 , 3
149000 , 1 , 2
250000 , 2 , 1
239000 , 3 , 1
250000 , 3 , 1
260000 , 2 , 1
310000 , 2 , 1
350000 , 3 , 2
329900 , 3 , 2
315000 , 3 , 2
320000 , 3 , 2
324100 , 3 , 3
329000 , 3 , 2
225000 , 3 , 2
380000 , 4 , 2
369000 , 3 , 2
199000 , 2 , 1
378000 , 3 , 2
249000 , 3 , 2
310000 , 2 , 2
265000 , 3 , 3
459900 , 3 , 2
295000 , 3 , 2
399000 , 3 , 2
369500 , 3 , 2
282000 , 3 , 2
285000 , 2 , 2
239000 , 3 , 2
300000 , 3 , 2
324999 , 3 , 2
415000 , 3 , 2
324900 , 3 , 2
535000 , 3 , 2
399000 , 3 , 2
209900 , 3 , 2
425900 , 3 , 2
320000 , 3 , 2
397900 , 3 , 2
375000 , 3 , 2
344000 , 3 , 2
259000 , 3 , 2
370000 , 3 , 2
400000 , 3 , 2
395000 , 3 , 2
400000 , 3 , 2
399000 , 3 , 2
367000 , 3 , 2
500000 , 3 , 2
405000 , 3 , 2
325000 , 3 , 2
525000 , 3 , 2
449000 , 3 , 2
384000 , 3 , 2
375000 , 3 , 2
510000 , 4 , 3
989000 , 3 , 2
575000 , 4 , 2
945000 , 3 , 3
435000 , 4 , 2
2490000 , 3 , 4
450000 , 4 , 3
444900 , 3 , 2
579000 , 4 , 2
425000 , 3 , 2
469900 , 3 , 2
410000 , 3 , 3
399990 , 4 , 3
439000 , 4 , 2
895000 , 4 , 2
399000 , 4 , 2
410000 , 3 , 2
465000 , 3 , 2
770000 , 4 , 2
379000 , 3 , 3
509000 , 4 , 2
499900 , 3 , 3
435500 , 4 , 2
452000 , 4 , 3
535000 , 3 , 3
565000 , 3 , 2
825000 , 3 , 3
559000 , 4 , 3
549000 , 4 , 3
615000 , 3 , 2
529000 , 3 , 2
525000 , 4 , 3
885000 , 3 , 3
639900 , 5 , 3
825000 , 5 , 3
564900 , 4 , 3
485000 , 4 , 3
620000 , 4 , 3
1350000 , 4 , 3
569000 , 5 , 3
849000 , 4 , 3
535000 , 5 , 6
610000 , 2 , 1
675000 , 2 , 1
425000 , 2 , 2
795000 , 3 , 2
754000 , 3 , 2
835000 , 2 , 2
650000 , 2 , 3
700000 , 3 , 2
1400000 , 3 , 4
799000 , 3 , 3
1295000 , 3 , 3
770000 , 3 , 2
1279000 , 2 , 2
774888 , 3 , 3
824900 , 3 , 3
949000 , 3 , 3
1195000 , 3 , 3
1599000 , 4 , 4
309500 , 2 , 2
419000 , 2 , 2
550000 , 3 , 2
459000 , 2 , 2
225000 , 3 , 2
155000 , 3 , 2
599000 , 3 , 2
759000 , 3 , 2
728234 , 3 , 3
509000 , 4 , 2
599000 , 2 , 3
439999 , 3 , 2
499500 , 3 , 3
734900 , 3 , 2
1595000 , 3 , 3
1499500 , 3 , 3
1750000 , 5 , 5
210000 , 3 , 1
598000 , 3 , 2
625000 , 3 , 2
588500 , 3 , 2
319000 , 3 , 2
598000 , 3 , 2
320000 , 3 , 2
645000 , 3 , 2
299000 , 3 , 2
439500 , 4 , 2
479900 , 3 , 3
469900 , 4 , 2
699000 , 3 , 3
779000 , 3 , 2
1800000 , 4 , 2
640000 , 3 , 2
950000 , 5 , 4
1695000 , 4 , 4
387000 , 5 , 3
279000 , 4 , 2
375000 , 4 , 2
52500 , 2 , 2
545500 , 5 , 4
394900 , 4 , 2
259900 , 2 , 2
390000 , 3 , 2
319000 , 3 , 2
319000 , 2 , 2
35000 , 2 , 2
449900 , 3 , 2
323900 , 3 , 1
359000 , 4 , 2
289900 , 3 , 2
415000 , 3 , 2
365000 , 3 , 2
337000 , 3 , 2
430000 , 3 , 2
337500 , 3 , 2
335000 , 3 , 2
468000 , 4 , 3
379000 , 4 , 2
388000 , 3 , 2
525000 , 3 , 2
344900 , 3 , 3
425000 , 3 , 2
189900 , 2 , 2
459900 , 4 , 3
349000 , 4 , 2
559000 , 4 , 3
585000 , 4 , 3
499900 , 4 , 3
405000 , 3 , 3
359000 , 3 , 3
473500 , 3 , 3
409000 , 4 , 3
379000 , 3 , 2
33000 , 1 , 2
388000 , 3 , 2
155000 , 2 , 1
895000 , 3 , 2
275000 , 3 , 2
265000 , 3 , 3
399900 , 4 , 3
425000 , 3 , 2
699000 , 2 , 3
439900 , 4 , 3
324500 , 2 , 2
549000 , 4 , 3
445000 , 3 , 2
359900 , 4 , 3
359000 , 3 , 2
469000 , 4 , 2
325000 , 3 , 2
300900 , 3 , 2
454999 , 4 , 3
462990 , 2 , 2
19900 , 2 , 2
1190000 , 3 , 3
750000 , 3 , 1
490000 , 5 , 3
367990 , 3 , 2
355000 , 4 , 2
1150000 , 4 , 4
694500 , 3 , 3
569900 , 4 , 3
42500 , 3 , 2
429900 , 3 , 3
210000 , 3 , 2
310000 , 3 , 2
359900 , 3 , 2
347500 , 3 , 2
644900 , 3 , 3
323000 , 3 , 3
375000 , 2 , 3
349900 , 4 , 3
241680 , 4 , 2
354999 , 3 , 3
299000 , 3 , 2
300000 , 3 , 2
389000 , 4 , 2
225000 , 2 , 2
259900 , 3 , 2
379999 , 3 , 2
699000 , 5 , 3
195000 , 3 , 2
349000 , 3 , 2
542000 , 3 , 2
269000 , 4 , 2
280000 , 3 , 2
529000 , 4 , 3
55000 , 3 , 2
309000 , 3 , 2
199900 , 2 , 2
510000 , 3 , 2
424900 , 3 , 2
399900 , 3 , 2
379900 , 4 , 2
459900 , 4 , 3
389900 , 3 , 2
1200000 , 5 , 3
468000 , 4 , 3
419000 , 4 , 3
599900 , 4 , 3
289900 , 3 , 3
399000 , 3 , 2
1000000 , 4 , 4
725000 , 3 , 3
473000 , 3 , 3
400500 , 3 , 3
430000 , 3 , 3
394920 , 3 , 2
374000 , 4 , 3
435000 , 3 , 2
295000 , 3 , 2
425000 , 3 , 3
267191 , 3 , 2
530000 , 4 , 3
529000 , 5 , 3
409000 , 4 , 3
70000 , 2 , 2
550000 , 5 , 3
269900 , 3 , 2
264900 , 3 , 1
155000 , 2 , 2
218900 , 3 , 2
259900 , 3 , 2
479000 , 3 , 2
425000 , 3 , 3
274744 , 3 , 2
299500 , 3 , 2
339000 , 3 , 2
475000 , 3 , 2
299900 , 3 , 2
800000 , 3 , 3
198000 , 3 , 2
299900 , 3 , 2
373000 , 3 , 3
322000 , 3 , 2
275000 , 3 , 2
221000 , 3 , 2
344900 , 3 , 2
222000 , 3 , 2
295000 , 3 , 2
575500 , 2 , 1
519900 , 5 , 3
385000 , 3 , 2
243000 , 4 , 3
299999 , 3 , 2
299000 , 3 , 2
559000 , 3 , 3
208900 , 3 , 2
289900 , 3 , 2
829900 , 6 , 4
340000 , 3 , 2
509000 , 4 , 3
335500 , 4 , 3
285500 , 3 , 2
217000 , 3 , 2
72995 , 3 , 2
109550 , 3 , 2
425500 , 3 , 2
435000 , 5 , 4
272826 , 5 , 3
127918 , 2 , 2
227000 , 3 , 2
319000 , 3 , 2
229500 , 3 , 2
378000 , 3 , 3
444900 , 4 , 3
364900 , 4 , 2
439000 , 4 , 3
440000 , 3 , 2
365000 , 3 , 2
329500 , 3 , 2
339900 , 3 , 2
59000 , 3 , 2
407000 , 4 , 3
229000 , 3 , 2
305000 , 4 , 2
324900 , 4 , 2
300000 , 3 , 2
349900 , 4 , 2
620000 , 4 , 3
424000 , 3 , 2
299000 , 3 , 2
197000 , 2 , 2
629000 , 5 , 3
429900 , 4 , 2
1165000 , 4 , 3
352000 , 5 , 3
895000 , 4 , 3
394000 , 2 , 2
525000 , 4 , 2
552200 , 3 , 2
785000 , 5 , 3
780000 , 3 , 3
678900 , 3 , 2
650000 , 2 , 2
779000 , 3 , 2
589900 , 3 , 2
439000 , 3 , 3
679000 , 4 , 2
689000 , 2 , 1
599000 , 4 , 2
509000 , 3 , 2
634000 , 3 , 2
1295000 , 3 , 2
1350000 , 3 , 2
880000 , 2 , 3
3500000 , 4 , 3
899900 , 4 , 4
1225000 , 3 , 4
1140000 , 4 , 5
3499000 , 4 , 6
