@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
384900 , 3 , 1456 , 1.86000001
369000 , 2 , 1519 , 1.86000001
1100000 , 4 , 3254 , 1.86000001
375000 , 2 , 950 , 1.86000001
745000 , 3 , 1824 , 1.86000001
725000 , 3 , 1724 , 1.86000001
1295000 , 4 , 2147 , 1.86000001
1996000 , 4 , 5000 , 1.86000001
879500 , 4 , 2735 , 1.86000001
998900 , 3 , 1905 , 1.86000001
869900 , 3 , 2392 , 1.86000001
375000 , 2 , 1306 , 1.86000001
625000 , 3 , 1787 , 1.86000001
415000 , 3 , 1639 , 1.86000001
699900 , 3 , 2007 , 1.86000001
849000 , 5 , 3037 , 1.86000001
450000 , 2 , 988 , 1.86000001
1499000 , 5 , 6015 , 1.86000001
2699000 , 4 , 6166 , 1.86000001
524000 , 3 , 1626 , 1.86000001
439000 , 3 , 1642 , 1.86000001
339900 , 2 , 1041 , 1.86000001
778000 , 4 , 2286 , 1.86000001
550000 , 3 , 1152 , 1.86000001
799900 , 3 , 2470 , 1.86000001
729000 , 3 , 1128 , 1.86000001
109000 , 3 , 1320 , 1.86000001
409950 , 3 , 1075 , 1.86000001
650000 , 2 , 974 , 1.86000001
250900 , 2 , 968 , 1.86000001
1158500 , 5 , 3360 , 1.86000001
1049000 , 3 , 3298 , 1.86000001
523490 , 2 , 1565 , 1.86000001
499900 , 4 , 2130 , 1.86000001
710000 , 3 , 1951 , 1.86000001
612000 , 3 , 2175 , 1.86000001
179900 , 1 , 568 , 1.86000001
492000 , 5 , 1804 , 1.86000001
210400 , 1 , 712 , 3.50999999
193483 , 1 , 604 , 3.50999999
435000 , 2 , 1250 , 3.50999999
699900 , 2 , 800 , 3.50999999
495000 , 2 , 1140 , 3.50999999
349900 , 2 , 1300 , 3.50999999
319000 , 2 , 1000 , 3.50999999
215000 , 2 , 1041 , 3.50999999
165000 , 2 , 1020 , 3.50999999
390000 , 2 , 1200 , 3.50999999
359000 , 2 , 918 , 3.50999999
154447 , 2 , 756 , 3.50999999
385000 , 3 , 1832 , 3.50999999
435000 , 3 , 1706 , 3.50999999
369900 , 3 , 1388 , 3.50999999
365000 , 3 , 1801 , 3.50999999
627000 , 3 , 2136 , 3.50999999
575000 , 3 , 2016 , 3.50999999
389000 , 3 , 1341 , 3.50999999
524900 , 3 , 1500 , 3.50999999
518000 , 3 , 2382 , 3.50999999
362000 , 3 , 1220 , 3.50999999
419000 , 3 , 1151 , 3.50999999
345000 , 3 , 1575 , 3.50999999
540000 , 3 , 2020 , 3.50999999
625000 , 3 , 2086 , 3.50999999
299999 , 3 , 1153 , 3.50999999
389000 , 3 , 1387 , 3.50999999
330000 , 3 , 1575 , 3.50999999
799900 , 3 , 2500 , 3.50999999
440000 , 3 , 1530 , 3.50999999
345000 , 3 , 1414 , 3.50999999
345000 , 3 , 1124 , 3.50999999
123500 , 3 , 1260 , 3.50999999
900000 , 3 , 1998 , 3.50999999
399000 , 3 , 1863 , 3.50999999
339000 , 3 , 1100 , 3.50999999
459000 , 3 , 1920 , 3.50999999
565000 , 3 , 2050 , 3.50999999
535000 , 3 , 1580 , 3.50999999
395000 , 3 , 1325 , 3.50999999
625000 , 3 , 1751 , 3.50999999
530000 , 4 , 2628 , 3.50999999
759000 , 4 , 3600 , 3.50999999
68900 , 4 , 3800 , 3.50999999
689900 , 4 , 2757 , 3.50999999
1050000 , 4 , 3838 , 3.50999999
569000 , 4 , 1941 , 3.50999999
699000 , 4 , 3600 , 3.50999999
925000 , 4 , 3518 , 3.50999999
999900 , 4 , 3900 , 3.50999999
455550 , 4 , 2259 , 3.50999999
545000 , 4 , 2025 , 3.50999999
475000 , 5 , 3281 , 3.50999999
1295000 , 5 , 5200 , 3.50999999
875000 , 5 , 3025 , 3.50999999
589000 , 5 , 2583 , 3.50999999
1350000 , 10 , 5000 , 3.50999999
825000 , 2 , 1300 , 3.95000005
856000 , 2 , 1300 , 3.95000005
2950000 , 4 , 4119 , 3.95000005
200000 , 3 , 1236 , 5.17000008
394900 , 3 , 2006 , 5.36000013
749500 , 4 , 3040 , 5.36000013
249000 , 3 , 982 , 5.36000013
799000 , 3 , 2194 , 5.36000013
349000 , 2 , 963 , 5.36000013
400000 , 3 , 1440 , 5.36000013
525000 , 3 , 1682 , 5.36000013
725000 , 3 , 1310 , 5.36000013
434000 , 3 , 1300 , 5.36000013
995000 , 4 , 3120 , 5.36000013
450000 , 4 , 1650 , 5.36000013
409000 , 4 , 1780 , 5.36000013
501000 , 4 , 2000 , 5.36000013
429000 , 1 , 592 , 2.16000009
535000 , 2 , 1262 , 2.16000009
475000 , 2 , 1241 , 2.16000009
517000 , 2 , 1122 , 2.16000009
787500 , 2 , 1173 , 2.16000009
399500 , 2 , 1500 , 2.16000009
895000 , 2 , 1580 , 2.16000009
806000 , 2 , 2255 , 2.16000009
569000 , 3 , 1401 , 2.16000009
675000 , 3 , 1614 , 2.16000009
659000 , 3 , 1600 , 2.16000009
879000 , 3 , 1833 , 2.16000009
699000 , 3 , 1900 , 2.16000009
1995000 , 3 , 2140 , 2.16000009
599000 , 3 , 2025 , 2.16000009
799000 , 3 , 2475 , 2.16000009
1300000 , 4 , 3000 , 2.16000009
639500 , 4 , 1150 , 2.16000009
1395000 , 4 , 3444 , 2.16000009
899000 , 5 , 2003 , 2.16000009
1450000 , 5 , 3500 , 2.16000009
979000 , 3 , 1902 , 0.670000017
