@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 


@DATA 
384900 , 3
369000 , 2
1100000 , 4
375000 , 2
745000 , 3
869900 , 3
725000 , 3
1295000 , 4
137900 , 3
1996000 , 4
879500 , 4
998900 , 3
869900 , 3
375000 , 2
625000 , 3
415000 , 3
699900 , 3
849000 , 5
450000 , 2
1499000 , 5
2699000 , 4
524000 , 3
439000 , 3
339900 , 2
778000 , 4
550000 , 3
799900 , 3
729000 , 3
109000 , 3
409950 , 3
650000 , 2
250900 , 2
1158500 , 5
1049000 , 3
523490 , 2
499900 , 4
710000 , 3
612000 , 3
179900 , 1
492000 , 5
210400 , 1
193483 , 1
435000 , 2
699900 , 2
495000 , 2
349900 , 2
319000 , 2
215000 , 2
165000 , 2
390000 , 2
359000 , 2
154447 , 2
385000 , 3
435000 , 3
369900 , 3
365000 , 3
627000 , 3
575000 , 3
389000 , 3
524900 , 3
518000 , 3
362000 , 3
419000 , 3
345000 , 3
540000 , 3
625000 , 3
299999 , 3
389000 , 3
330000 , 3
799900 , 3
440000 , 3
345000 , 3
345000 , 3
123500 , 3
900000 , 3
399000 , 3
339000 , 3
459000 , 3
565000 , 3
535000 , 3
395000 , 3
625000 , 3
530000 , 4
759000 , 4
68900 , 4
689900 , 4
1050000 , 4
569000 , 4
699000 , 4
925000 , 4
999900 , 4
455550 , 4
545000 , 4
569000 , 4
475000 , 5
1295000 , 5
875000 , 5
589000 , 5
559000 , 6
1350000 , 10
825000 , 2
856000 , 2
2950000 , 4
200000 , 3
394900 , 3
749500 , 4
249000 , 3
799000 , 3
349000 , 2
400000 , 3
525000 , 3
725000 , 3
434000 , 3
330000 , 3
995000 , 4
450000 , 4
409000 , 4
501000 , 4
429000 , 1
535000 , 2
475000 , 2
517000 , 2
787500 , 2
399500 , 2
895000 , 2
806000 , 2
569000 , 3
675000 , 3
659000 , 3
879000 , 3
699000 , 3
1995000 , 3
599000 , 3
799000 , 3
1300000 , 4
639500 , 4
1395000 , 4
899000 , 5
1450000 , 5
979000 , 3
750000 , 2
1995000 , 3
85000 , 2
110000 , 3
210000 , 3
182000 , 3
159130 , 4
240000 , 4
185000 , 5
310000 , 4
300000 , 1
369900 , 2
290000 , 2
299000 , 2
489000 , 2
449000 , 3
515000 , 3
479000 , 3
679000 , 3
489000 , 3
278500 , 3
480000 , 3
500000 , 3
445900 , 3
499000 , 3
634500 , 3
745000 , 3
759000 , 3
700000 , 3
650000 , 4
449000 , 4
178340 , 2
318000 , 3
178340 , 2
242150 , 3
330000 , 3
624900 , 4
210000 , 3
495000 , 3
199280 , 3
255000 , 3
49900 , 3
259900 , 3
279000 , 3
230000 , 3
229900 , 3
250000 , 3
189000 , 3
220000 , 3
272000 , 3
333900 , 3
329000 , 3
343390 , 3
456000 , 3
185000 , 3
369000 , 3
403900 , 3
270000 , 4
285000 , 4
280000 , 4
315000 , 4
301500 , 4
285000 , 4
369000 , 4
568000 , 4
612900 , 4
109000 , 1
373500 , 2
349000 , 2
415000 , 2
437500 , 2
489900 , 2
437000 , 2
499950 , 2
479000 , 3
429000 , 3
423000 , 3
435000 , 3
450000 , 3
459000 , 3
679000 , 3
549000 , 3
639000 , 3
522000 , 3
598500 , 3
845000 , 3
974000 , 3
971840 , 3
2499000 , 6
395000 , 2
549000 , 3
590000 , 3
700000 , 2
895000 , 3
895000 , 3
785000 , 2
495000 , 4
694000 , 4
735000 , 3
694000 , 3
750000 , 3
849500 , 3
1340000 , 4
1550000 , 4
5500000 , 4
89100 , 3
225000 , 2
159000 , 3
359000 , 2
379000 , 3
350000 , 3
374900 , 3
380000 , 3
680000 , 2
425000 , 4
345000 , 4
550000 , 3
449000 , 3
474900 , 4
499000 , 3
419900 , 4
499000 , 3
499000 , 4
595000 , 3
569000 , 4
599900 , 4
775000 , 2
469000 , 4
399000 , 4
800000 , 4
1100000 , 3
799000 , 4
699000 , 7
924900 , 3
929000 , 5
699000 , 4
1199000 , 3
1188000 , 3
1479000 , 4
495000 , 2
235000 , 2
350000 , 2
269900 , 2
152000 , 3
350000 , 3
289900 , 2
450000 , 3
519900 , 3
979000 , 3
1500000 , 3
149000 , 1
250000 , 2
239000 , 3
250000 , 3
260000 , 2
310000 , 2
350000 , 3
329900 , 3
315000 , 3
320000 , 3
324100 , 3
329000 , 3
225000 , 3
380000 , 4
369000 , 3
199000 , 2
378000 , 3
249000 , 3
310000 , 2
265000 , 3
459900 , 3
295000 , 3
399000 , 3
369500 , 3
282000 , 3
285000 , 2
239000 , 3
300000 , 3
324999 , 3
415000 , 3
535000 , 3
324900 , 3
415000 , 3
535000 , 3
399000 , 3
209900 , 3
425900 , 3
320000 , 3
397900 , 3
375000 , 3
344000 , 3
259000 , 3
370000 , 3
510000 , 3
400000 , 3
395000 , 3
400000 , 3
399000 , 3
367000 , 3
500000 , 3
405000 , 3
325000 , 3
525000 , 3
449000 , 3
384000 , 3
375000 , 3
510000 , 4
989000 , 3
575000 , 4
945000 , 3
435000 , 4
2490000 , 3
450000 , 4
444900 , 3
579000 , 4
425000 , 3
469900 , 3
410000 , 3
399990 , 4
439000 , 4
895000 , 4
399000 , 4
410000 , 3
465000 , 3
770000 , 4
379000 , 3
509000 , 4
499900 , 3
435500 , 4
452000 , 4
535000 , 3
452000 , 4
565000 , 3
825000 , 3
559000 , 4
549000 , 4
615000 , 3
529000 , 3
525000 , 4
885000 , 3
639900 , 5
825000 , 5
564900 , 4
485000 , 4
620000 , 4
1350000 , 4
569000 , 5
849000 , 4
535000 , 5
610000 , 2
675000 , 2
425000 , 2
795000 , 3
754000 , 3
835000 , 2
650000 , 2
700000 , 3
1400000 , 3
799000 , 3
799000 , 3
1295000 , 3
770000 , 3
1279000 , 2
774888 , 3
824900 , 3
949000 , 3
1195000 , 3
1599000 , 4
309500 , 2
419000 , 2
550000 , 3
459000 , 2
225000 , 3
155000 , 3
599000 , 3
759000 , 3
728234 , 3
509000 , 4
599000 , 2
439999 , 3
499500 , 3
734900 , 3
1595000 , 3
1499500 , 3
1750000 , 5
210000 , 3
598000 , 3
625000 , 3
588500 , 3
319000 , 3
598000 , 3
320000 , 3
645000 , 3
299000 , 3
439500 , 4
479900 , 3
469900 , 4
699000 , 3
779000 , 3
1800000 , 4
640000 , 3
950000 , 5
1695000 , 4
387000 , 5
279000 , 4
375000 , 4
52500 , 2
545500 , 5
394900 , 4
259900 , 2
390000 , 3
319000 , 3
319000 , 2
599900 , 4
35000 , 2
425000 , 3
449900 , 3
367990 , 3
323900 , 3
359000 , 4
289900 , 3
415000 , 3
365000 , 3
337000 , 3
430000 , 3
189900 , 2
337500 , 3
335000 , 3
468000 , 4
379000 , 4
388000 , 3
525000 , 3
344900 , 3
425000 , 3
189900 , 2
459900 , 4
349000 , 4
559000 , 4
585000 , 4
499900 , 4
405000 , 3
359000 , 3
473500 , 3
409000 , 4
379000 , 3
33000 , 1
388000 , 3
155000 , 2
895000 , 3
275000 , 3
265000 , 3
399900 , 4
425000 , 3
699000 , 2
439900 , 4
324500 , 2
549000 , 4
445000 , 3
359900 , 4
359000 , 3
469000 , 4
325000 , 3
300900 , 3
454999 , 4
462990 , 2
19900 , 2
1190000 , 3
300900 , 3
750000 , 3
490000 , 5
367990 , 3
355000 , 4
1150000 , 4
189900 , 2
189900 , 2
694500 , 3
569900 , 4
42500 , 3
429900 , 3
210000 , 3
310000 , 3
359900 , 3
347500 , 3
644900 , 3
323000 , 3
375000 , 2
349900 , 4
241680 , 4
354999 , 3
299000 , 3
300000 , 3
389000 , 4
225000 , 2
259900 , 3
379999 , 3
324500 , 2
699000 , 5
349000 , 4
195000 , 3
349000 , 3
542000 , 3
269000 , 4
280000 , 3
529000 , 4
55000 , 3
189900 , 2
269000 , 4
309000 , 3
199900 , 2
379000 , 4
510000 , 3
424900 , 3
399900 , 3
379900 , 4
459900 , 4
389900 , 3
355000 , 4
289900 , 3
1200000 , 5
399900 , 3
468000 , 4
419000 , 4
599900 , 4
399900 , 3
289900 , 3
189900 , 2
468000 , 4
289900 , 3
399000 , 3
1000000 , 4
725000 , 3
367990 , 3
355000 , 4
459900 , 4
189900 , 2
473000 , 3
400500 , 3
430000 , 3
399900 , 4
335000 , 3
359900 , 4
394920 , 3
374000 , 4
435000 , 3
295000 , 3
335000 , 3
425000 , 3
267191 , 3
530000 , 4
344900 , 3
529000 , 5
409000 , 4
359000 , 3
425000 , 3
70000 , 2
550000 , 5
419000 , 4
269900 , 3
379000 , 3
264900 , 3
155000 , 2
218900 , 3
259900 , 3
479000 , 3
425000 , 3
274744 , 3
299500 , 3
339000 , 3
475000 , 3
299900 , 3
800000 , 3
300000 , 3
198000 , 3
299900 , 3
373000 , 3
322000 , 3
275000 , 3
221000 , 3
344900 , 3
222000 , 3
295000 , 3
575500 , 2
519900 , 5
385000 , 3
243000 , 4
299999 , 3
299000 , 3
559000 , 3
208900 , 3
289900 , 3
829900 , 6
340000 , 3
509000 , 4
335500 , 4
285500 , 3
217000 , 3
72995 , 3
109550 , 3
155000 , 2
425500 , 3
435000 , 5
272826 , 5
127918 , 2
227000 , 3
218900 , 3
379000 , 3
319000 , 3
229500 , 3
378000 , 3
444900 , 4
364900 , 4
439000 , 4
440000 , 3
365000 , 3
329500 , 3
339900 , 3
59000 , 3
407000 , 4
229000 , 3
305000 , 4
324900 , 4
300000 , 3
349900 , 4
620000 , 4
424000 , 3
299000 , 3
197000 , 2
629000 , 5
429900 , 4
439900 , 3
1165000 , 4
352000 , 5
895000 , 4
235000 , 2
394000 , 2
525000 , 4
552200 , 3
785000 , 5
780000 , 3
678900 , 3
650000 , 2
779000 , 3
589900 , 3
439000 , 3
695000 , 3
679000 , 4
689000 , 2
599000 , 4
509000 , 3
634000 , 3
1295000 , 3
1350000 , 3
880000 , 2
3500000 , 4
899900 , 4
1225000 , 3
1140000 , 4
3499000 , 4
