@RELATION test
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE price NUMERIC 


@DATA 
1456 , 2 , 3 , 384900
1519 , 2 , 2 , 369000
3254 , 4 , 4 , 1100000
950 , 1 , 2 , 375000
1824 , 2 , 3 , 745000
1724 , 2 , 3 , 725000
2147 , 2 , 4 , 1295000
5000 , 4 , 4 , 1996000
2735 , 3 , 4 , 879500
1905 , 2 , 3 , 998900
2392 , 3 , 3 , 869900
1306 , 2 , 2 , 375000
1787 , 2 , 3 , 625000
1639 , 2 , 3 , 415000
2007 , 2 , 3 , 699900
3037 , 4 , 5 , 849000
988 , 1 , 2 , 450000
6015 , 5 , 5 , 1499000
6166 , 5 , 4 , 2699000
1626 , 2 , 3 , 524000
1642 , 3 , 3 , 439000
1041 , 2 , 2 , 339900
2286 , 2 , 4 , 778000
1152 , 2 , 3 , 550000
2470 , 3 , 3 , 799900
1128 , 2 , 3 , 729000
1320 , 2 , 3 , 109000
1075 , 2 , 3 , 409950
974 , 1 , 2 , 650000
968 , 2 , 2 , 250900
3360 , 5 , 5 , 1158500
3298 , 4 , 3 , 1049000
1565 , 2 , 2 , 523490
2130 , 3 , 4 , 499900
1951 , 2 , 3 , 710000
2175 , 3 , 3 , 612000
568 , 1 , 1 , 179900
1804 , 2 , 5 , 492000
712 , 1 , 1 , 210400
604 , 1 , 1 , 193483
1250 , 2 , 2 , 435000
800 , 1 , 2 , 699900
1140 , 2 , 2 , 495000
1300 , 2 , 2 , 349900
1000 , 1 , 2 , 319000
1041 , 2 , 2 , 215000
1020 , 1 , 2 , 165000
1200 , 2 , 2 , 390000
918 , 1 , 2 , 359000
756 , 1 , 2 , 154447
1832 , 3 , 3 , 385000
1706 , 2 , 3 , 435000
1388 , 2 , 3 , 369900
1801 , 3 , 3 , 365000
2136 , 2 , 3 , 627000
2016 , 2 , 3 , 575000
1341 , 2 , 3 , 389000
1500 , 2 , 3 , 524900
2382 , 2 , 3 , 518000
1220 , 2 , 3 , 362000
1151 , 2 , 3 , 419000
1575 , 2 , 3 , 345000
2020 , 3 , 3 , 540000
2086 , 3 , 3 , 625000
1153 , 1 , 3 , 299999
1387 , 3 , 3 , 389000
1575 , 3 , 3 , 330000
2500 , 3 , 3 , 799900
1530 , 2 , 3 , 440000
1414 , 3 , 3 , 345000
1124 , 2 , 3 , 345000
1260 , 3 , 3 , 123500
1998 , 3 , 3 , 900000
1863 , 3 , 3 , 399000
1100 , 2 , 3 , 339000
1920 , 3 , 3 , 459000
2050 , 2 , 3 , 565000
1580 , 2 , 3 , 535000
1325 , 2 , 3 , 395000
1751 , 2 , 3 , 625000
2628 , 3 , 4 , 530000
3600 , 4 , 4 , 759000
3800 , 3 , 4 , 68900
2757 , 3 , 4 , 689900
3838 , 3 , 4 , 1050000
1941 , 3 , 4 , 569000
3600 , 4 , 4 , 699000
3518 , 3 , 4 , 925000
3900 , 3 , 4 , 999900
2259 , 3 , 4 , 455550
2025 , 2 , 4 , 545000
3281 , 3 , 5 , 475000
5200 , 4 , 5 , 1295000
3025 , 3 , 5 , 875000
2583 , 3 , 5 , 589000
5000 , 11 , 10 , 1350000
1300 , 2 , 2 , 825000
1300 , 2 , 2 , 856000
4119 , 5 , 4 , 2950000
1236 , 2 , 3 , 200000
2006 , 3 , 3 , 394900
3040 , 4 , 4 , 749500
982 , 2 , 3 , 249000
2194 , 3 , 3 , 799000
963 , 2 , 2 , 349000
1440 , 3 , 3 , 400000
1682 , 2 , 3 , 525000
1310 , 2 , 3 , 725000
1300 , 3 , 3 , 434000
3120 , 4 , 4 , 995000
