@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
224.423203 , 263.823395 ,  -1 
218.179199 , 729.643677 ,  -1 
229.619003 , 1251.36096 ,  -1 
223.347397 , 1762.16602 ,  -1 
559.328979 , 247.004593 ,  -1 
545.780579 , 758.539124 ,  -1 
549.804382 , 1261.79004 ,  1 
557.563721 , 1797.00598 ,  -1 
878.871277 , 268.674713 ,  -1 
892.179626 , 744.968323 ,  -1 
884.786987 , 1263.177 ,  -1 
879.64917 , 1766.86694 ,  -1 
1229.81299 , 270.920197 ,  -1 
1237.93994 , 739.791077 ,  -1 
1239.33606 , 1244.25598 ,  -1 
1241.11694 , 1778.70898 ,  -1 
539.040588 , 1383.44995 ,  1 
524.76947 , 1381.98499 ,  1 
568.240784 , 1210.84204 ,  1 
603.171387 , 1318.71997 ,  1 
623.035583 , 1319.01404 ,  1 
604.599915 , 1238.59595 ,  1 
650.975708 , 1293.30103 ,  -1 
517.10437 , 1311.09595 ,  1 
569.947388 , 1154.44299 ,  1 
522.489319 , 1299.55505 ,  1 
494.088013 , 1407.10803 ,  -1 
636.956482 , 1392.52698 ,  1 
509.497192 , 1098.703 ,  -1 
614.268311 , 1124.95703 ,  1 
620.897583 , 1401.70898 ,  -1 
459.779114 , 1209.64001 ,  -1 
486.017792 , 1271.71594 ,  -1 
499.815613 , 1325.14697 ,  -1 
635.169617 , 1290.48999 ,  1 
610.174683 , 1285.80701 ,  1 
655.307983 , 1360.87695 ,  -1 
655.772217 , 1300.005 ,  -1 
543.760376 , 1393.16101 ,  1 
495.582703 , 1348.30298 ,  -1 
563.083313 , 1226.94897 ,  1 
